author,category,feature_count,positive_weight_l1,negative_weight_l1,absolute_weight_l1,absolute_weight_share,strongest_positive_feature,strongest_positive_latex,strongest_positive_weight
Creanga,case,1,0.0,0.004521659317651333,0.004521659317651333,0.00037807538481425215,uppercase_ratio,uppercase ratio,-0.004521659317651333
Creanga,diacritic,10,0.3229268883696199,0.48739385634868354,0.8103207447183033,0.06775440294371324,char_freq:Ș,freq(S-comma),0.19275880360046307
Creanga,digit,11,0.27496644055363173,0.4883861156379084,0.7633525561915402,0.06382719067410156,char_freq:2,freq(2),0.12492854860343261
Creanga,distribution,1,1.214534192684086,0.0,1.214534192684086,0.10155242799398158,char_entropy,char entropy,1.214534192684086
Creanga,length,1,0.0,0.028647517785105242,0.028647517785105242,0.0023953421851787495,log1p_length,log1p length,-0.028647517785105242
Creanga,letter,54,1.5882733637207502,3.1779388635194694,4.766212227240222,0.39852350549404936,char_freq:a,freq(a),0.3204747809951519
Creanga,punctuation,17,1.0275149365684775,2.342612201719202,3.3701271382876796,0.28179082614806583,"char_freq:,",freq(comma),0.3919811027454768
Creanga,symbol,3,0.0,0.26113222112660706,0.26113222112660706,0.021834388230983322,char_freq:­,freq(U+00AD),-0.06378647380861886
Creanga,whitespace,4,0.29814645988956656,0.44268184269401945,0.740828302583586,0.06194384094511215,char_freq:SPACE,freq(space),0.14907322994478328
Delavrancea,case,1,0.0,0.40931664697751224,0.40931664697751224,0.05512698876611172,uppercase_ratio,uppercase ratio,-0.40931664697751224
Delavrancea,diacritic,10,0.11107627760209196,0.5899555197989127,0.7010317974010046,0.09441534397728875,char_freq:Ș,freq(S-comma),0.08562984176929776
Delavrancea,digit,11,0.04172093441707615,0.07893361010587543,0.12065454452295157,0.016249819716867023,char_freq:5,freq(5),0.019499778035306788
Delavrancea,distribution,1,0.3042859617048415,0.0,0.3042859617048415,0.04098139891561722,char_entropy,char entropy,0.3042859617048415
Delavrancea,length,1,0.05661298530489702,0.0,0.05661298530489702,0.007624667669796893,log1p_length,log1p length,0.05661298530489702
Delavrancea,letter,54,0.47548531928700394,2.9845575593623437,3.4600428786493476,0.46600045786079825,char_freq:C,freq(C),0.09930065911488986
Delavrancea,punctuation,17,0.7049026602526519,1.3490523879513865,2.0539550482040383,0.27662778365978163,punctuation_ratio,punctuation ratio,0.6397171800889261
Delavrancea,symbol,3,0.0,0.15325949810943917,0.15325949810943917,0.020641072609595437,char_freq:­,freq(U+00AD),-0.011768787526824412
Delavrancea,whitespace,4,0.0,0.16581806196557797,0.16581806196557797,0.022332466824143218,char_freq:NEWLINE,freq(newline),-0.02046810212803001
Eminescu,case,1,0.6866856203649309,0.0,0.6866856203649309,0.0664518097484316,uppercase_ratio,uppercase ratio,0.6866856203649309
Eminescu,diacritic,10,0.06422967199576758,1.0839299920892,1.1481596640849676,0.11110948780032719,char_freq:â,freq(a-circumflex),0.06306002666090532
Eminescu,digit,11,0.1302248962532186,0.471555443965037,0.6017803402182555,0.058235372188626976,char_freq:0,freq(0),0.08705654393203285
Eminescu,distribution,1,0.03228136721401974,0.0,0.03228136721401974,0.003123926304711725,char_entropy,char entropy,0.03228136721401974
Eminescu,length,1,0.028726443786221252,0.0,0.028726443786221252,0.002779909933480935,log1p_length,log1p length,0.028726443786221252
Eminescu,letter,54,0.7463644885266905,4.310979559667027,5.057344048193718,0.48940833265786404,char_freq:r,freq(r),0.12644302893340367
Eminescu,punctuation,17,1.0799094897290662,1.235694296433238,2.3156037861623044,0.2240851674876048,char_freq:-,freq(dash),0.29236969770582394
Eminescu,symbol,3,0.033246252970776144,0.10656848010386666,0.13981473307464282,0.01353012465495688,char_freq:­,freq(U+00AD),0.033246252970776144
Eminescu,whitespace,4,0.0,0.3231919452884278,0.3231919452884278,0.031275869223995965,char_freq:SPACE,freq(space),-0.011735445419014503
Filimon,case,1,0.015606943645671275,0.0,0.015606943645671275,0.0017288204219132828,uppercase_ratio,uppercase ratio,0.015606943645671275
Filimon,diacritic,10,0.3009862628052249,1.3145226359163893,1.6155088987216142,0.17895398607831883,char_freq:î,freq(i-circumflex),0.1492755705236683
Filimon,digit,11,0.2637272256751184,0.057796336613357716,0.32152356228847606,0.035615974096555196,char_freq:2,freq(2),0.08065681404103867
Filimon,distribution,1,0.11042997058144753,0.0,0.11042997058144753,0.012232605734143285,char_entropy,char entropy,0.11042997058144753
Filimon,length,1,0.019301145960746956,0.0,0.019301145960746956,0.0021380365086743542,log1p_length,log1p length,0.019301145960746956
Filimon,letter,54,2.2924344811066004,1.5863178052194877,3.878752286326088,0.42965915148948813,char_freq:R,freq(R),0.2526651701613252
Filimon,punctuation,17,0.7335657956389516,1.9826329447880404,2.716198740426992,0.3008801696883007,char_freq:-,freq(dash),0.2004024573113887
Filimon,symbol,3,0.0,0.11714951067313335,0.11714951067313335,0.012976946099567333,char_freq:­,freq(U+00AD),-0.006287295899245895
Filimon,whitespace,4,0.19860642306787693,0.03443251752412301,0.23303894059199992,0.025814309883039066,char_freq:NEWLINE,freq(newline),0.09930321153393847
Garleanu,case,1,0.0,0.4288870137053844,0.4288870137053844,0.03494441170050945,uppercase_ratio,uppercase ratio,-0.4288870137053844
Garleanu,diacritic,10,0.2939840765166014,0.3920472382765918,0.6860313147931931,0.055895748617939965,char_freq:ă,freq(a-breve),0.12224773488957132
Garleanu,digit,11,0.18426886568460948,0.9369458789607014,1.121214744645311,0.09135317318906136,char_freq:0,freq(0),0.12242248800595552
Garleanu,distribution,1,0.9778226209225068,0.0,0.9778226209225068,0.07967001831176752,char_entropy,char entropy,0.9778226209225068
Garleanu,length,1,0.0,0.08170787528048845,0.08170787528048845,0.006657309598412356,log1p_length,log1p length,-0.08170787528048845
Garleanu,letter,54,1.1864077395325712,4.308656617360496,5.495064356893067,0.44772115982036276,char_freq:a,freq(a),0.23992094447737514
Garleanu,punctuation,17,1.2938674719344465,1.4179080100664652,2.7117754820009115,0.22094723284739462,char_freq:.,freq(period),0.4140422906550204
Garleanu,symbol,3,0.0823843343570786,0.12137877023180275,0.20376310458888136,0.016601999101374155,char_freq:​,freq(U+200B),0.0823843343570786
Garleanu,whitespace,4,0.0,0.5671412463608828,0.5671412463608828,0.04620894681317775,char_freq:SPACE,freq(space),-0.018526886639557923
Ispirescu,case,1,0.0,0.4565282837856712,0.4565282837856712,0.026178941481174677,uppercase_ratio,uppercase ratio,-0.4565282837856712
Ispirescu,diacritic,10,0.7952985527280267,0.4991294560200914,1.2944280087481181,0.07422706609021282,char_freq:ă,freq(a-breve),0.4716451358921233
Ispirescu,digit,11,0.08747542750685734,0.8264834487797902,0.9139588762866474,0.05240962452556653,char_freq:0,freq(0),0.05681300165444838
Ispirescu,distribution,1,1.1312003351677022,0.0,1.1312003351677022,0.06486701575699816,char_entropy,char entropy,1.1312003351677022
Ispirescu,length,1,0.0,0.002162415437174676,0.002162415437174676,0.0001240005257031599,log1p_length,log1p length,-0.002162415437174676
Ispirescu,letter,54,1.6534602920663866,5.4648021018325466,7.118262393898932,0.4081862641943398,char_freq:e,freq(e),0.543298246810096
Ispirescu,punctuation,17,1.4566835665376368,4.267277918150344,5.723961484687981,0.3282321338462657,char_freq:.,freq(period),0.6421720973789218
Ispirescu,symbol,3,0.0,0.24789360196188773,0.24789360196188773,0.014215093193140628,char_freq:​,freq(U+200B),-0.026606790711720174
Ispirescu,whitespace,4,0.5503648384397032,0.0,0.5503648384397032,0.03155986038659837,char_freq:SPACE,freq(space),0.183511098263126
Oltean,case,1,0.0,0.34491121666402436,0.34491121666402436,0.021119896694857875,uppercase_ratio,uppercase ratio,-0.34491121666402436
Oltean,diacritic,10,0.24266939231128115,1.0517947475053049,1.2944641398165861,0.07926372813428982,char_freq:â,freq(a-circumflex),0.1951416927095059
