rank,test_work_group,test_author,test_doc_ids,trainval_work_group,trainval_author,trainval_partition,trainval_doc_ids,same_author,cosine_char5_tfidf,test_char_count,trainval_char_count
1,Eminescu__GeniuPustiu,Eminescu,Eminescu_GeniuPustiu.txt,Eminescu__TassoNScotia,Eminescu,train,Eminescu_TassoNScotia.txt,True,0.9938048035928975,170837,165238
2,Delavrancea__NuEGeabaCafea,Delavrancea,Delavrancea_NuEGeabaCafea.txt,Delavrancea__Irinel,Delavrancea,train,Delavrancea_Irinel.txt,True,0.6646739336023567,36232,24713
3,Eminescu__GeniuPustiu,Eminescu,Eminescu_GeniuPustiu.txt,Eminescu__SarmanulDionis,Eminescu,train,Eminescu_SarmanulDionis.txt,True,0.621198203405805,170837,84193
4,Eminescu__FatFrumosDinLacrima,Eminescu,Eminescu_FatFrumosDinLacrima.txt,Filimon__OmulDeFloriCuBarbaDeMatase,Filimon,train,Filimon_OmulDeFloriCuBarbaDeMatase.txt,False,0.5898757986004118,39627,18994
5,Eminescu__GeniuPustiu,Eminescu,Eminescu_GeniuPustiu.txt,Eminescu__AvatariiFaraonuluiTla,Eminescu,train,Eminescu_AvatariiFaraonuluiTla.txt,True,0.5680800517354991,170837,91274
6,Delavrancea__DinMemoriileTrubadurului,Delavrancea,Delavrancea_DinMemoriileTrubadurului.txt,Delavrancea__Liniste,Delavrancea,train,Delavrancea_Liniste.txt,True,0.5585514757098927,46372,82454
7,Eminescu__GeniuPustiu,Eminescu,Eminescu_GeniuPustiu.txt,Delavrancea__Liniste,Delavrancea,train,Delavrancea_Liniste.txt,False,0.5543001177721624,170837,82454
8,Ispirescu__ZanaMuntilor,Ispirescu,Ispirescu_ZanaMuntilor.txt,Ispirescu__Gainareasa,Ispirescu,train,Ispirescu_Gainareasa.txt,True,0.5385999601617926,10290,11980
9,Eminescu__FatFrumosDinLacrima,Eminescu,Eminescu_FatFrumosDinLacrima.txt,Ispirescu__LupulCelNazdravanSiFatFrumos,Ispirescu,train,Ispirescu_LupulCelNazdravanSiFatFrumos.txt,False,0.5142920604121325,39627,16634
10,Eminescu__GeniuPustiu,Eminescu,Eminescu_GeniuPustiu.txt,Eminescu__Cezara,Eminescu,train,Eminescu_Cezara.txt,True,0.5128399647972411,170837,58591
11,Delavrancea__DinMemoriileTrubadurului,Delavrancea,Delavrancea_DinMemoriileTrubadurului.txt,Eminescu__TassoNScotia,Eminescu,train,Eminescu_TassoNScotia.txt,False,0.4804024400707492,46372,165238
