order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,768,0,0.03,,20,840,211,840,211,0.8483412322274881,0.8137031429014706,0.8172240666601569
0,2,768,0,0.03,,20,841,210,841,210,0.7476190476190476,0.6831134809783107,0.6925136162918117
0,3,768,0,0.03,,20,841,210,841,210,0.8714285714285714,0.840417136469768,0.8300629821306513
0,4,768,0,0.03,,20,841,210,841,210,0.8523809523809524,0.8413466745045693,0.8310402629951502
0,5,768,0,0.03,,20,841,210,841,210,0.8523809523809524,0.8340824380298063,0.835709235847449
1,1,768,0,0.03,balanced,20,840,211,840,211,0.8767772511848341,0.8600896866173059,0.8902800833251961
1,2,768,0,0.03,balanced,20,841,210,841,210,0.8142857142857143,0.7785481105769055,0.7964483720122818
1,3,768,0,0.03,balanced,20,841,210,841,210,0.919047619047619,0.8886029432619367,0.9082950883702764
1,4,768,0,0.03,balanced,20,841,210,841,210,0.8761904761904762,0.8455779688175508,0.8629650424763207
1,5,768,0,0.03,balanced,20,841,210,841,210,0.861904761904762,0.8371593719429034,0.8596658041206913
2,1,768,0,0.1,,20,840,211,840,211,0.8578199052132701,0.8448348938474629,0.8411475116362335
2,2,768,0,0.1,,20,841,210,841,210,0.7571428571428571,0.7029550735066459,0.7054322765788931
2,3,768,0,0.1,,20,841,210,841,210,0.8857142857142857,0.8550221278549452,0.843417797741106
2,4,768,0,0.1,,20,841,210,841,210,0.8428571428571429,0.8220452157294263,0.8147495361781076
2,5,768,0,0.1,,20,841,210,841,210,0.8428571428571429,0.8225875142365284,0.8223424856385936
3,1,768,0,0.1,balanced,20,840,211,840,211,0.8720379146919431,0.8548922534074074,0.8878877388275884
3,2,768,0,0.1,balanced,20,841,210,841,210,0.8238095238095238,0.7864214042571427,0.8067378945198493
3,3,768,0,0.1,balanced,20,841,210,841,210,0.9142857142857143,0.8858751205704115,0.9059027438726687
3,4,768,0,0.1,balanced,20,841,210,841,210,0.8857142857142857,0.8543969821945921,0.8706181037008104
3,5,768,0,0.1,balanced,20,841,210,841,210,0.8666666666666667,0.8449383888631944,0.862058148618299
4,1,768,0,0.3,,20,840,211,840,211,0.8530805687203792,0.8372874595744076,0.8358843537414966
4,2,768,0,0.3,,20,841,210,841,210,0.7714285714285715,0.7259008068238962,0.7263178237802298
4,3,768,0,0.3,,20,841,210,841,210,0.8857142857142857,0.854132511473879,0.843417797741106
4,4,768,0,0.3,,20,841,210,841,210,0.8476190476190476,0.8254394822815877,0.8222683331705888
4,5,768,0,0.3,,20,841,210,841,210,0.8476190476190476,0.8293801368186247,0.8328688014280673
5,1,768,0,0.3,balanced,20,840,211,840,211,0.8672985781990521,0.8491995427631732,0.879115809003027
5,2,768,0,0.3,balanced,20,841,210,841,210,0.8380952380952381,0.8021035712307935,0.8194124380214605
5,3,768,0,0.3,balanced,20,841,210,841,210,0.919047619047619,0.8874539883387434,0.9069768577287374
5,4,768,0,0.3,balanced,20,841,210,841,210,0.8904761904761904,0.8606188305217036,0.8781369006932916
5,5,768,0,0.3,balanced,20,841,210,841,210,0.861904761904762,0.8344120730737208,0.8515318328288254
6,1,768,0,1.0,,20,840,211,840,211,0.8530805687203792,0.8361905969817002,0.838139992839241
6,2,768,0,1.0,,20,841,210,841,210,0.7761904761904762,0.7334651722829986,0.7328967711486508
6,3,768,0,1.0,,20,841,210,841,210,0.8857142857142857,0.8482457600878653,0.843417797741106
6,4,768,0,1.0,,20,841,210,841,210,0.8523809523809524,0.8316453816453816,0.8288472805390099
6,5,768,0,1.0,,20,841,210,841,210,0.8428571428571429,0.8179559971597751,0.8128902837051887
7,1,768,0,1.0,balanced,20,840,211,840,211,0.8720379146919431,0.8568979385502116,0.885694756371448
7,2,768,0,1.0,balanced,20,841,210,841,210,0.8428571428571429,0.81161697860146,0.8276622291659885
7,3,768,0,1.0,balanced,20,841,210,841,210,0.9095238095238095,0.8736826748246885,0.8940581974416562
7,4,768,0,1.0,balanced,20,841,210,841,210,0.8904761904761904,0.8606188305217036,0.8781369006932916
7,5,768,0,1.0,balanced,20,841,210,841,210,0.861904761904762,0.8233754569988141,0.8369531784005468
8,1,768,0,3.0,,20,840,211,840,211,0.8530805687203792,0.8361905969817002,0.838139992839241
8,2,768,0,3.0,,20,841,210,841,210,0.7761904761904762,0.7307128844563074,0.7298265957100544
8,3,768,0,3.0,,20,841,210,841,210,0.8857142857142857,0.8477603568564667,0.843417797741106
8,4,768,0,3.0,,20,841,210,841,210,0.8523809523809524,0.8316453816453816,0.8288472805390099
8,5,768,0,3.0,,20,841,210,841,210,0.8380952380952381,0.80709551261508,0.802363967915715
9,1,768,0,3.0,balanced,20,840,211,840,211,0.8720379146919431,0.8568979385502116,0.885694756371448
9,2,768,0,3.0,balanced,20,841,210,841,210,0.8476190476190476,0.8152629676536192,0.8287363430220572
9,3,768,0,3.0,balanced,20,841,210,841,210,0.9047619047619048,0.8590710469407494,0.8835318816521823
9,4,768,0,3.0,balanced,20,841,210,841,210,0.8809523809523809,0.8508189248224048,0.8704838394688018
9,5,768,0,3.0,balanced,20,841,210,841,210,0.8571428571428571,0.8116377794716629,0.8264268626110732
10,1,768,384,0.03,,20,840,211,840,211,0.8199052132701422,0.7629574805214593,0.7742719894975534
10,2,768,384,0.03,,20,841,210,841,210,0.7571428571428571,0.717023034228719,0.7105587290737666
10,3,768,384,0.03,,20,841,210,841,210,0.8857142857142857,0.8462081584400283,0.8409831396673502
10,4,768,384,0.03,,20,841,210,841,210,0.8428571428571429,0.8115884610344444,0.8024289620154282
10,5,768,384,0.03,,20,841,210,841,210,0.8428571428571429,0.8268167874096521,0.8232798940947991
11,1,768,384,0.03,balanced,20,840,211,840,211,0.8767772511848341,0.8572613968857629,0.8858846249823693
11,2,768,384,0.03,balanced,20,841,210,841,210,0.8380952380952381,0.8106886733596547,0.8192757326215973
11,3,768,384,0.03,balanced,20,841,210,841,210,0.9047619047619048,0.8676902756974564,0.8929840835855873
11,4,768,384,0.03,balanced,20,841,210,841,210,0.8809523809523809,0.8539653588612875,0.8695439898447418
11,5,768,384,0.03,balanced,20,841,210,841,210,0.8571428571428571,0.8306177279504061,0.8572734596230835
12,1,768,384,0.1,,20,840,211,840,211,0.8341232227488151,0.8073813022305996,0.8049737438835184
12,2,768,384,0.1,,20,841,210,841,210,0.7666666666666667,0.7309457693472403,0.7251786121147022
12,3,768,384,0.1,,20,841,210,841,210,0.8952380952380953,0.8580455119928804,0.8497550694919116
12,4,768,384,0.1,,20,841,210,841,210,0.8571428571428571,0.8326781999000962,0.8247973830680597
12,5,768,384,0.1,,20,841,210,841,210,0.8476190476190476,0.8308903149460425,0.8243540079508677
13,1,768,384,0.1,balanced,20,840,211,840,211,0.8672985781990521,0.8501357108392306,0.8747203506602004
13,2,768,384,0.1,balanced,20,841,210,841,210,0.8380952380952381,0.8027828794631485,0.8192757326215973
13,3,768,384,0.1,balanced,20,841,210,841,210,0.9047619047619048,0.8690753804516279,0.8941005110178043
13,4,768,384,0.1,balanced,20,841,210,841,210,0.8857142857142857,0.8594943328113142,0.8761229372131628
13,5,768,384,0.1,balanced,20,841,210,841,210,0.8666666666666667,0.8328325693073008,0.8526059466848941
14,1,768,384,0.3,,20,840,211,840,211,0.8341232227488151,0.8107280761712895,0.8049737438835184
14,2,768,384,0.3,,20,841,210,841,210,0.7761904761904762,0.7417425381455037,0.7362061810370081
14,3,768,384,0.3,,20,841,210,841,210,0.9047619047619048,0.8808393866067256,0.8734392800182273
14,4,768,384,0.3,,20,841,210,841,210,0.8571428571428571,0.8327409148133966,0.8247973830680597
14,5,768,384,0.3,,20,841,210,841,210,0.8428571428571429,0.8243600591667093,0.815145922802933
15,1,768,384,0.3,balanced,20,840,211,840,211,0.8672985781990521,0.8501357108392306,0.8747203506602004
15,2,768,384,0.3,balanced,20,841,210,841,210,0.8380952380952381,0.8104845431245645,0.8239540951946966
15,3,768,384,0.3,balanced,20,841,210,841,210,0.9047619047619048,0.8688931065851436,0.8941005110178043
15,4,768,384,0.3,balanced,20,841,210,841,210,0.8857142857142857,0.8564504481561221,0.8761229372131628
15,5,768,384,0.3,balanced,20,841,210,841,210,0.861904761904762,0.8247758421234875,0.8420796308954204
16,1,768,384,1.0,,20,840,211,840,211,0.8341232227488151,0.8107280761712895,0.8049737438835184
16,2,768,384,1.0,,20,841,210,841,210,0.7761904761904762,0.7412617238102003,0.7362061810370081
16,3,768,384,1.0,,20,841,210,841,210,0.9047619047619048,0.8808393866067256,0.8734392800182273
16,4,768,384,1.0,,20,841,210,841,210,0.8571428571428571,0.833049848249265,0.8247973830680597
16,5,768,384,1.0,,20,841,210,841,210,0.8428571428571429,0.8243600591667093,0.815145922802933
17,1,768,384,1.0,balanced,20,840,211,840,211,0.8672985781990521,0.8515554812992486,0.8747203506602004
17,2,768,384,1.0,balanced,20,841,210,841,210,0.8428571428571429,0.8171790869708112,0.8305330425631177
17,3,768,384,1.0,balanced,20,841,210,841,210,0.9095238095238095,0.8729670801789218,0.895174624873873
17,4,768,384,1.0,balanced,20,841,210,841,210,0.8809523809523809,0.8481945142035938,0.8695439898447418
17,5,768,384,1.0,balanced,20,841,210,841,210,0.861904761904762,0.8262780676996679,0.8420796308954204
18,1,768,384,3.0,,20,840,211,840,211,0.8341232227488151,0.8110470554376372,0.8049737438835184
18,2,768,384,3.0,,20,841,210,841,210,0.7761904761904762,0.7412617238102003,0.7362061810370081
18,3,768,384,3.0,,20,841,210,841,210,0.9047619047619048,0.8808393866067256,0.8734392800182273
18,4,768,384,3.0,,20,841,210,841,210,0.8571428571428571,0.833049848249265,0.8247973830680597
18,5,768,384,3.0,,20,841,210,841,210,0.8428571428571429,0.8243600591667093,0.815145922802933
19,1,768,384,3.0,balanced,20,840,211,840,211,0.8672985781990521,0.8515554812992486,0.8747203506602004
19,2,768,384,3.0,balanced,20,841,210,841,210,0.8476190476190476,0.8245565048745449,0.8340418144929422
19,3,768,384,3.0,balanced,20,841,210,841,210,0.9095238095238095,0.8729670801789218,0.895174624873873
19,4,768,384,3.0,balanced,20,841,210,841,210,0.8809523809523809,0.8481945142035938,0.8695439898447418
19,5,768,384,3.0,balanced,20,841,210,841,210,0.861904761904762,0.8262780676996679,0.8420796308954204
20,1,1024,0,0.03,,20,840,211,840,211,0.8483412322274881,0.836687930519249,0.8357405960789419
20,2,1024,0,0.03,,20,841,210,841,210,0.780952380952381,0.7273677336717799,0.7317176870748299
20,3,1024,0,0.03,,20,841,210,841,210,0.8809523809523809,0.8291198056894182,0.8383540018878365
20,4,1024,0,0.03,,20,841,210,841,210,0.8571428571428571,0.8350134169426984,0.8285453894476451
20,5,1024,0,0.03,,20,841,210,841,210,0.8428571428571429,0.8211830720833491,0.8227905755603677
21,1,1024,0,0.03,balanced,20,840,211,840,211,0.8672985781990521,0.8558627001840298,0.8810999359871541
21,2,1024,0,0.03,balanced,20,841,210,841,210,0.8285714285714286,0.7897692164486907,0.8076102051665961
21,3,1024,0,0.03,balanced,20,841,210,841,210,0.9,0.8715047144397823,0.8899139081469908
21,4,1024,0,0.03,balanced,20,841,210,841,210,0.8952380952380953,0.8764617008807455,0.8872872115353317
21,5,1024,0,0.03,balanced,20,841,210,841,210,0.861904761904762,0.8344358949264677,0.8596658041206913
22,1,1024,0,0.1,,20,840,211,840,211,0.8483412322274881,0.8354064436128147,0.8357405960789419
22,2,1024,0,0.1,,20,841,210,841,210,0.7904761904761904,0.7363525568980892,0.7419516052034849
22,3,1024,0,0.1,,20,841,210,841,210,0.8809523809523809,0.8312191175895566,0.8449329492562574
22,4,1024,0,0.1,,20,841,210,841,210,0.8809523809523809,0.8580483593263457,0.8528276860983628
22,5,1024,0,0.1,,20,841,210,841,210,0.8571428571428571,0.8437722925766561,0.8526151369638765
23,1,1024,0,0.1,balanced,20,840,211,840,211,0.8720379146919431,0.8593115918987678,0.8857479195825061
23,2,1024,0,0.1,balanced,20,841,210,841,210,0.8523809523809524,0.8196791895390987,0.8262509629050981
23,3,1024,0,0.1,balanced,20,841,210,841,210,0.9047619047619048,0.8741013542319049,0.8868437327083943
23,4,1024,0,0.1,balanced,20,841,210,841,210,0.9047619047619048,0.8890281849642575,0.901384955896234
23,5,1024,0,0.1,balanced,20,841,210,841,210,0.8714285714285714,0.8460206611264719,0.8631322624743679
24,1,1024,0,0.3,,20,840,211,840,211,0.8483412322274881,0.8363848511701698,0.8357405960789419
24,2,1024,0,0.3,,20,841,210,841,210,0.7952380952380952,0.7426219067432903,0.7494704021959661
24,3,1024,0,0.3,,20,841,210,841,210,0.8952380952380953,0.8505184554243633,0.8589680369755558
24,4,1024,0,0.3,,20,841,210,841,210,0.8857142857142857,0.8619296870999659,0.8561598802200306
24,5,1024,0,0.3,,20,841,210,841,210,0.8523809523809524,0.8379673390162846,0.8467671837475022
25,1,1024,0,0.3,balanced,20,840,211,840,211,0.8720379146919431,0.8615881165437136,0.8857479195825061
25,2,1024,0,0.3,balanced,20,841,210,841,210,0.8666666666666667,0.8370020395368524,0.8414228211220692
25,3,1024,0,0.3,balanced,20,841,210,841,210,0.9047619047619048,0.8610492434354332,0.8773915307749893
25,4,1024,0,0.3,balanced,20,841,210,841,210,0.9095238095238095,0.891670143242344,0.902459069752303
25,5,1024,0,0.3,balanced,20,841,210,841,210,0.8714285714285714,0.845532099211317,0.8536800605409629
26,1,1024,0,1.0,,20,840,211,840,211,0.8436018957345972,0.8381554123671607,0.8362722281895214
26,2,1024,0,1.0,,20,841,210,841,210,0.8,0.7503446549092518,0.7560493495643871
26,3,1024,0,1.0,,20,841,210,841,210,0.8952380952380953,0.8505184554243633,0.8589680369755558
26,4,1024,0,1.0,,20,841,210,841,210,0.8857142857142857,0.8619296870999659,0.8561598802200306
26,5,1024,0,1.0,,20,841,210,841,210,0.8476190476190476,0.8302471161930869,0.8362408679580285
27,1,1024,0,1.0,balanced,20,840,211,840,211,0.8672985781990521,0.8512159589416392,0.8756577591164058
27,2,1024,0,1.0,balanced,20,841,210,841,210,0.861904761904762,0.8197923486429509,0.8308965053325955
27,3,1024,0,1.0,balanced,20,841,210,841,210,0.9,0.8551541389012826,0.8721283728802526
27,4,1024,0,1.0,balanced,20,841,210,841,210,0.9,0.8750367599374528,0.8884239820330045
27,5,1024,0,1.0,balanced,20,841,210,841,210,0.8714285714285714,0.845532099211317,0.8536800605409629
28,1,1024,0,3.0,,20,840,211,840,211,0.8483412322274881,0.8391016458704478,0.8360932092135099
28,2,1024,0,3.0,,20,841,210,841,210,0.7952380952380952,0.7453083572685985,0.7485305525719059
28,3,1024,0,3.0,,20,841,210,841,210,0.8857142857142857,0.8429962602548191,0.8513125345832113
28,4,1024,0,3.0,,20,841,210,841,210,0.8857142857142857,0.8619296870999659,0.8561598802200306
28,5,1024,0,3.0,,20,841,210,841,210,0.8523809523809524,0.8338950800963802,0.8386332124556362
29,1,1024,0,3.0,balanced,20,840,211,840,211,0.8625592417061612,0.8364410298661561,0.8656326964597639
29,2,1024,0,3.0,balanced,20,841,210,841,210,0.861904761904762,0.8197923486429509,0.8308965053325955
29,3,1024,0,3.0,balanced,20,841,210,841,210,0.9,0.8532037025567214,0.8721283728802526
29,4,1024,0,3.0,balanced,20,841,210,841,210,0.9,0.8718594762648131,0.8884239820330045
29,5,1024,0,3.0,balanced,20,841,210,841,210,0.8714285714285714,0.845532099211317,0.8536800605409629
30,1,1024,512,0.03,,20,840,211,840,211,0.8578199052132701,0.8405071551115035,0.8446492313033667
30,2,1024,512,0.03,,20,841,210,841,210,0.7904761904761904,0.7378439363733481,0.7460451724549468
30,3,1024,512,0.03,,20,841,210,841,210,0.8761904761904762,0.8277464605214697,0.8359640985580835
30,4,1024,512,0.03,,20,841,210,841,210,0.8809523809523809,0.8558589776236835,0.8473252937538651
30,5,1024,512,0.03,,20,841,210,841,210,0.8571428571428571,0.8461892046888589,0.8403572194428012
31,1,1024,512,0.03,balanced,20,840,211,840,211,0.8767772511848341,0.8547463680549445,0.8845688355086851
31,2,1024,512,0.03,balanced,20,841,210,841,210,0.8571428571428571,0.8186128922552912,0.8310356519003136
31,3,1024,512,0.03,balanced,20,841,210,841,210,0.9095238095238095,0.8826298517501008,0.8976092829476289
31,4,1024,512,0.03,balanced,20,841,210,841,210,0.8904761904761904,0.8671771701782688,0.8807082641669107
31,5,1024,512,0.03,balanced,20,841,210,841,210,0.8809523809523809,0.848281536819201,0.8679169514695829
32,1,1024,512,0.1,,20,840,211,840,211,0.8530805687203792,0.8320823497826734,0.8358773014788052
32,2,1024,512,0.1,,20,841,210,841,210,0.8047619047619048,0.7673169401497574,0.7670142618450889
32,3,1024,512,0.1,,20,841,210,841,210,0.8857142857142857,0.8465124245819707,0.8499991862773818
32,4,1024,512,0.1,,20,841,210,841,210,0.8857142857142857,0.852616701144313,0.8475246557953324
32,5,1024,512,0.1,,20,841,210,841,210,0.861904761904762,0.8511194223899745,0.8474279265135082
33,1,1024,512,0.1,balanced,20,840,211,840,211,0.8815165876777251,0.8645673949812346,0.8911477828771063
33,2,1024,512,0.1,balanced,20,841,210,841,210,0.8571428571428571,0.8166387469611198,0.8257724940055767
33,3,1024,512,0.1,balanced,20,841,210,841,210,0.9142857142857143,0.8876833517629056,0.8986833968036976
33,4,1024,512,0.1,balanced,20,841,210,841,210,0.8952380952380953,0.863061199572299,0.8795893955668392
33,5,1024,512,0.1,balanced,20,841,210,841,210,0.8809523809523809,0.8533746440843973,0.8679169514695829
34,1,1024,512,0.3,,20,840,211,840,211,0.8483412322274881,0.8325098034359234,0.8334849569811976
34,2,1024,512,0.3,,20,841,210,841,210,0.8142857142857143,0.7891462882948952,0.7841195250029835
34,3,1024,512,0.3,,20,841,210,841,210,0.9,0.8642207588227268,0.8719290108387853
34,4,1024,512,0.3,,20,841,210,841,210,0.8809523809523809,0.8440271034579325,0.8422614979005957
