order,chunk_size,overlap,c,class_weight,min_char_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,768,0,0.03,,20,0.8344301512074024,0.044143020979045614,0.802532574576785,0.06053572462523136,0.8013100327850438,0.05474274485572065
1,768,0,0.03,balanced,20,0.869641164522681,0.03364191659611648,0.8419956162433204,0.03622553463707095,0.8635308780609533,0.03803860168599388
2,768,0,0.1,,20,0.8372782667569398,0.04301613286665041,0.8094889650350018,0.05477463841389481,0.8054179215545867,0.05116882507878078
3,768,0,0.1,balanced,20,0.8725028210336265,0.029413150112764175,0.8453048298585497,0.03252053659585428,0.8666409259078431,0.03352047245938862
4,768,0,0.3,,20,0.8410923042202663,0.037611360367412944,0.8144280793944791,0.04534509056667907,0.8121514219722977,0.04345067683335575
5,768,0,0.3,balanced,20,0.8753644775445724,0.02746561343131175,0.846757601185627,0.028286700550827205,0.8670347676550684,0.02957298343238751
6,768,0,1.0,,20,0.8420446851726473,0.03598082846490171,0.8135005816315442,0.04117478710864826,0.8112384251946393,0.040520171620960756
7,768,0,1.0,balanced,20,0.8753599638907696,0.02299643668539811,0.8452383758993756,0.023621886063850347,0.8645010524145862,0.026924778657872104
8,768,0,3.0,,20,0.8410923042202663,0.03600972919209272,0.8106809465109871,0.04212571367754773,0.8085191269490253,0.041806571739476404
9,768,0,3.0,balanced,20,0.8725028210336268,0.019836281676710834,0.8387377314877295,0.020855042587318837,0.8589747366251125,0.026165614175550262
10,768,384,0.03,,20,0.8296953283683142,0.04205781196867637,0.7929187843268607,0.04689399416432534,0.7903045428697795,0.04564894979520373
11,768,384,0.03,balanced,20,0.8715459264274429,0.022563449722404334,0.8440446865509135,0.020616119375514955,0.8649923781314758,0.026039708529520242
12,768,384,0.1,,20,0.8401579778830964,0.04198896070815443,0.8119882196833718,0.043579217768271235,0.8058117633018119,0.04274971368409279
13,768,384,0.1,balanced,20,0.8725073346874295,0.022182054842008202,0.8428641745745244,0.023339271789000193,0.8633650956395318,0.025674895576155835
14,768,384,0.3,,20,0.8430151207402392,0.041368785814871765,0.818082194980725,0.04488781798179907,0.8109125021619494,0.04412847829486349
15,768,384,0.3,balanced,20,0.8715549537350485,0.02251214687389903,0.8421479301657098,0.021391730385946193,0.8621955049962569,0.025439451058341108
16,768,384,1.0,,20,0.8430151207402392,0.041368785814871765,0.818047818800838,0.0450718743111565,0.8109125021619494,0.04412847829486349
17,768,384,1.0,balanced,20,0.8725073346874295,0.022182054842008202,0.8432348460704485,0.019719391160260762,0.8624103277674706,0.023261227441524618
18,768,384,3.0,,20,0.8430151207402392,0.041368785814871765,0.8181116146541075,0.045061693211759554,0.8109125021619494,0.04412847829486349
19,768,384,3.0,balanced,20,0.8734597156398104,0.02095698258482073,0.8447103296511955,0.017907342221802992,0.8631120821534356,0.02232295879917363
20,1024,0,0.03,,20,0.84204919882645,0.0332094556206797,0.8098743917812989,0.04160903095431783,0.8114296500099242,0.04022924066806346
21,1024,0,0.03,balanced,20,0.8706025727826676,0.025784891202534015,0.8456068453759432,0.031529463129830536,0.8651154129913528,0.030654872865089295
22,1024,0,0.1,,20,0.8515730083502595,0.03316800812773009,0.8209597540006925,0.043285830810643265,0.8256135947201848,0.0422961278586606
23,1024,0,0.1,balanced,20,0.8810742496050553,0.020592279016158337,0.8576281963521002,0.023811845909339154,0.8726719667133201,0.026238028867291412
24,1024,0,0.3,,20,0.8553825321597832,0.03516937264300436,0.8258844478908147,0.04264973407216064,0.8294212198435993,0.04079441281263853
25,1024,0,0.3,balanced,20,0.8848837734145791,0.018331355707621476,0.8593683283939321,0.018670041738249616,0.8721402803545661,0.021983241272145206
26,1024,0,1.0,,20,0.8544346648612052,0.033971366987885235,0.8262390651987657,0.03944954903981828,0.8287380725815046,0.03758327333928475
27,1024,0,1.0,balanced,20,0.8801263823064771,0.016505473533389464,0.8493462611269285,0.017805676159712812,0.8641573359806444,0.020003616814087084
28,1024,0,3.0,,20,0.8534777702550214,0.03315971241233893,0.8246462061180424,0.04078180503438242,0.8261458778088588,0.03953029874470577
29,1024,0,3.0,balanced,20,0.879178515007899,0.017330394637060806,0.8453657313083918,0.017303341816948422,0.8621523234493159,0.019238191225850774
30,1024,512,0.03,,20,0.852516361995035,0.03245792897641342,0.8216291468637728,0.042868729799089005,0.8228682031026127,0.03860494445229996
31,1024,512,0.03,balanced,20,0.8829744978560143,0.017151733598737985,0.8542895638115612,0.021346626291262976,0.8723677971986243,0.02273199327192512
32,1024,512,0.1,,20,0.8582351613631236,0.029697237296424987,0.8299295676097378,0.03213621853146728,0.8295686663820234,0.03165953024036946
33,1024,512,0.1,balanced,20,0.8858271270593544,0.018780781394777523,0.8570650674723911,0.023141410786583196,0.8726220041445606,0.025643554079531443
34,1024,512,0.3,,20,0.8630015797788311,0.029496745213561888,0.8372589675157966,0.02636725441789579,0.8370248067329005,0.0294042646164299
35,1024,512,0.3,balanced,20,0.8848792597607762,0.016269909510167883,0.8538981781899707,0.015096444931433129,0.8704889116731224,0.01981391826191125
36,1024,512,1.0,,20,0.8649018280297902,0.028607381126786575,0.8411338126976894,0.024243950669307377,0.8392571733637635,0.026804306823593454
37,1024,512,1.0,balanced,20,0.8810742496050553,0.016148580400668845,0.8488811767348746,0.014336905027069594,0.8641438824333563,0.018267207417185457
38,1024,512,3.0,,20,0.8639494470774093,0.02861203899486163,0.8395585458592645,0.023646926121257447,0.837753413965267,0.026476851543289198
39,1024,512,3.0,balanced,20,0.8829790115098172,0.016301980379500394,0.8499839250632487,0.014803906959961663,0.8656744946782542,0.019291072678563212
40,1280,0,0.03,,20,0.8601444369216882,0.028446534542837645,0.8206489690574651,0.03758060720292357,0.8286508957650044,0.032360720101569936
41,1280,0,0.03,balanced,20,0.8782216204017151,0.02698593913787302,0.8506705483448455,0.03723289252897387,0.8717549013225707,0.03343876990840519
42,1280,0,0.1,,20,0.8706161137440759,0.03431881210499542,0.8386562597925582,0.043763041515859,0.8436948367863891,0.04028157852613053
43,1280,0,0.1,balanced,20,0.881078763258858,0.028509287916740487,0.8528678356104349,0.03857392206130975,0.8735003363386822,0.03430026699377626
44,1280,0,0.3,,20,0.868711351839314,0.0346160158574694,0.8376429162507915,0.04293182346032767,0.8427485316295578,0.04033704771132216
45,1280,0,0.3,balanced,20,0.8791875423155044,0.024978155592500533,0.8479622048708476,0.03139314147334039,0.8707536970130956,0.027351563967963215
46,1280,0,1.0,,20,0.8687068381855111,0.03302810647284272,0.8379965112281111,0.034058877584684885,0.8421052567757565,0.03410097422270349
47,1280,0,1.0,balanced,20,0.8829880388174226,0.024281571383012474,0.8520772260067287,0.028480357967855485,0.8713104460284911,0.02495529405772609
48,1280,0,3.0,,20,0.868711351839314,0.03188828402647222,0.8396799652502345,0.027687560707422034,0.8428529593655643,0.03145821063318381
49,1280,0,3.0,balanced,20,0.8791785150078988,0.02712409865665827,0.8488936725233545,0.029079595999433078,0.8671896461934054,0.026762401241753917
50,1280,640,0.03,,20,0.8649018280297902,0.03204682566150001,0.8338372647899375,0.038580312222867966,0.8364793955859856,0.036814190733338144
51,1280,640,0.03,balanced,20,0.8858406680207628,0.023226429191077206,0.8612274010665967,0.02948372613603236,0.8791068851783137,0.027256853707796628
52,1280,640,0.1,,20,0.8725208756488378,0.03240777215874825,0.8429852558464674,0.0423085692308901,0.8473042662040893,0.0387447531453216
53,1280,640,0.1,balanced,20,0.8896456781764839,0.02062961211681302,0.8615225634891359,0.02939565205753661,0.8799272803220172,0.02772241089365437
54,1280,640,0.3,,20,0.8725253893026406,0.030508996414584363,0.8435964364458245,0.04096395345126694,0.8481852565587638,0.03692254361585321
55,1280,640,0.3,balanced,20,0.8877499435793276,0.01803633920401678,0.8552517352055722,0.017712940022661775,0.8725225672406124,0.015497368676683634
56,1280,640,1.0,,20,0.8725208756488378,0.02639170702502396,0.8413188564562535,0.03321887178317486,0.8460316582773458,0.029985457925014457
57,1280,640,1.0,balanced,20,0.8858451816745656,0.01574178033172288,0.8520958513507566,0.01570747137065065,0.8683673740628628,0.015040679312835115
58,1280,640,3.0,,20,0.8715730083502595,0.021349251355941685,0.8427082681072058,0.018990849815424662,0.8439742420094035,0.020714240305530512
59,1280,640,3.0,balanced,20,0.8848928007221847,0.01528203199824933,0.8526876035721861,0.013118205296627772,0.8678889051633412,0.011597607069792073
