order,fold,c,class_weight,nfft,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,0.03,,2048,840,211,840,211,0.6635071090047393,0.559874026528481,0.5515878600243925
0,2,0.03,,2048,841,210,841,210,0.6,0.4926471932319043,0.4788056450650436
0,3,0.03,,2048,841,210,841,210,0.638095238095238,0.5498871954412703,0.5346515639748722
0,4,0.03,,2048,841,210,841,210,0.6619047619047619,0.5490503652098613,0.5453223155290824
0,5,0.03,,2048,841,210,841,210,0.6142857142857143,0.4837895168477311,0.47875597607464043
1,1,0.03,balanced,2048,840,211,840,211,0.5924170616113744,0.545424863549577,0.5660884928133932
1,2,0.03,balanced,2048,841,210,841,210,0.5380952380952381,0.4916668999716813,0.5289795104644729
1,3,0.03,balanced,2048,841,210,841,210,0.6,0.5605223020179961,0.6024676138397943
1,4,0.03,balanced,2048,841,210,841,210,0.6619047619047619,0.6324075869861607,0.672109250398724
1,5,0.03,balanced,2048,841,210,841,210,0.5761904761904761,0.5250088439252526,0.5636026659467616
2,1,0.1,,2048,840,211,840,211,0.6587677725118484,0.5922295360980468,0.5795009869976698
2,2,0.1,,2048,841,210,841,210,0.6333333333333333,0.530352937545872,0.5198267584545779
2,3,0.1,,2048,841,210,841,210,0.638095238095238,0.554319539877662,0.5435284640171858
2,4,0.1,,2048,841,210,841,210,0.680952380952381,0.6026433653188397,0.6002766656901996
2,5,0.1,,2048,841,210,841,210,0.6619047619047619,0.5765494681984823,0.5611341027639126
3,1,0.1,balanced,2048,840,211,840,211,0.6113744075829384,0.5575859302038181,0.5693381977990558
3,2,0.1,balanced,2048,841,210,841,210,0.5857142857142857,0.522151006422298,0.5442482016730136
3,3,0.1,balanced,2048,841,210,841,210,0.6285714285714286,0.5780324995911068,0.6216787911336783
3,4,0.1,balanced,2048,841,210,841,210,0.6857142857142857,0.6506434827743947,0.6835599550825114
3,5,0.1,balanced,2048,841,210,841,210,0.6619047619047619,0.596292071768689,0.6195668458771069
4,1,0.3,,2048,840,211,840,211,0.6587677725118484,0.5905528908389115,0.5843912206030738
4,2,0.3,,2048,841,210,841,210,0.6428571428571429,0.5596425276531506,0.550280869923727
