order,c,class_weight,nfft,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,0.03,,2048,0.6355585646580907,0.025292780140162327,0.5270496594518496,0.03205617818157143,0.5178246721336063,0.03233593982866757
1,0.03,balanced,2048,0.5937215075603701,0.040228587186328206,0.5510060992901334,0.046786554410723054,0.5866495066926292,0.04864837290823547
2,0.1,,2048,0.6546106973595125,0.01726183976597907,0.5712189694077805,0.0261265155233558,0.560853395584709,0.02787595342176645
3,0.1,balanced,2048,0.63465583389754,0.035563434922555336,0.5809409981520612,0.042671474111030006,0.6076783983130732,0.04814294894087647
4,0.3,,2048,0.6565154592642745,0.022439603437615464,0.5836588256900005,0.02530464938495692,0.576593795412902,0.026442696528591908
5,0.3,balanced,2048,0.6431911532385466,0.023980322650447753,0.5853578247908042,0.03254424559985435,0.6054611605407714,0.03976844864605544
6,1.0,,2048,0.6527194764161588,0.020501565113518947,0.5833107893750145,0.026192707572196786,0.5789072774245265,0.025532967350064103
7,1.0,balanced,2048,0.6479711126156624,0.02382399348114164,0.589158773454478,0.03189319705282905,0.6015080290489402,0.03875541094928592
8,3.0,,2048,0.643200180546152,0.022068067250714515,0.5725244079043088,0.028763021127850282,0.5762433186990903,0.03183300432344125
9,3.0,balanced,2048,0.6403385240352064,0.017782716797341662,0.5756688656292455,0.027338702667661235,0.584798811071478,0.030696474346550897
10,10.0,,2048,0.6317806364251862,0.023021799960974535,0.5604293416835071,0.033222739183025325,0.5677613182434058,0.033784556715482875
11,10.0,balanced,2048,0.6336673437147371,0.016523557554194223,0.5645181073116843,0.02262221499254618,0.5753167120117584,0.023961729633535173
