order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,768,0,0.03,,20,840,211,840,211,0.8009478672985783,0.7366441125206107,0.7504754214285395
0,2,768,0,0.03,,20,841,210,841,210,0.7619047619047619,0.7241925641754549,0.7265367151645347
0,3,768,0,0.03,,20,841,210,841,210,0.8333333333333334,0.7798006336176452,0.7898170751554211
0,4,768,0,0.03,,20,841,210,841,210,0.8333333333333334,0.8000241678912039,0.8054987305927156
0,5,768,0,0.03,,20,841,210,841,210,0.8,0.7649215739507342,0.7579769627149106
1,1,768,0,0.03,balanced,20,840,211,840,211,0.8720379146919431,0.8434917619077865,0.8606706159337738
1,2,768,0,0.03,balanced,20,841,210,841,210,0.8428571428571429,0.8077689656637026,0.8265315615879526
1,3,768,0,0.03,balanced,20,841,210,841,210,0.9047619047619048,0.8773701968541883,0.8936643556944308
1,4,768,0,0.03,balanced,20,841,210,841,210,0.8714285714285714,0.8308223816165204,0.8633409823259447
1,5,768,0,0.03,balanced,20,841,210,841,210,0.8476190476190476,0.809784541214148,0.8320198494070673
2,1,768,0,0.1,,20,840,211,840,211,0.8104265402843602,0.7448739942547992,0.7588345545554745
2,2,768,0,0.1,,20,841,210,841,210,0.7714285714285715,0.7389164987061324,0.7411565982054703
2,3,768,0,0.1,,20,841,210,841,210,0.8380952380952381,0.7786696419049359,0.7922094196530287
2,4,768,0,0.1,,20,841,210,841,210,0.8285714285714286,0.7937676973688054,0.7967268007681542
2,5,768,0,0.1,,20,841,210,841,210,0.8142857142857143,0.7817103274940981,0.7795308474266901
3,1,768,0,0.1,balanced,20,840,211,840,211,0.8767772511848341,0.8466580081065688,0.8659337738285108
3,2,768,0,0.1,balanced,20,841,210,841,210,0.8428571428571429,0.8077689656637026,0.8265315615879526
3,3,768,0,0.1,balanced,20,841,210,841,210,0.9047619047619048,0.8682845510893834,0.8906568368974384
3,4,768,0,0.1,balanced,20,841,210,841,210,0.8714285714285714,0.8293856021706266,0.8633409823259447
3,5,768,0,0.1,balanced,20,841,210,841,210,0.861904761904762,0.8212140584821733,0.8396449728216645
4,1,768,0,0.3,,20,840,211,840,211,0.8104265402843602,0.759129957427171,0.7628217953848206
4,2,768,0,0.3,,20,841,210,841,210,0.7761904761904762,0.7411754409839794,0.7444460718896808
4,3,768,0,0.3,,20,841,210,841,210,0.8333333333333334,0.7706438825264958,0.7846906226605475
4,4,768,0,0.3,,20,841,210,841,210,0.8333333333333334,0.8032143910260254,0.8033057481365752
4,5,768,0,0.3,,20,841,210,841,210,0.8142857142857143,0.7814979523591222,0.7795308474266901
5,1,768,0,0.3,balanced,20,840,211,840,211,0.8672985781990521,0.8338271832806399,0.852377155008734
5,2,768,0,0.3,balanced,20,841,210,841,210,0.8428571428571429,0.8078119653197052,0.8265315615879526
5,3,768,0,0.3,balanced,20,841,210,841,210,0.9,0.8589536257367861,0.8840778895290173
5,4,768,0,0.3,balanced,20,841,210,841,210,0.8714285714285714,0.8293856021706266,0.8633409823259447
5,5,768,0,0.3,balanced,20,841,210,841,210,0.861904761904762,0.8212140584821733,0.8396449728216645
6,1,768,0,1.0,,20,840,211,840,211,0.8151658767772512,0.7708061072612157,0.771593725209382
6,2,768,0,1.0,,20,841,210,841,210,0.7761904761904762,0.7426202294256719,0.7444460718896808
