order,chunk_size,overlap,c,class_weight,min_char_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,768,0,0.03,,20,0.8059038591740014,0.02645785355783278,0.7611166104311298,0.027711574632995208,0.7660609810112243,0.028249306933376996
1,768,0,0.03,balanced,20,0.867740916271722,0.022030471452935647,0.8338475694512691,0.025516677718999996,0.8552454729898338,0.024227663091789378
2,768,0,0.1,,20,0.8125614985330627,0.02283741830737948,0.7675876319457542,0.021659180585802285,0.7736916441217635,0.020913560532546265
3,768,0,0.1,balanced,20,0.8715459264274429,0.020232054288803265,0.834662237102491,0.02100620362133028,0.8572216254923022,0.022280395687478232
4,768,0,0.3,,20,0.8135138794854436,0.020922644801637785,0.7711323248645587,0.020873023232866723,0.7749590170996629,0.01998747065615566
5,768,0,0.3,balanced,20,0.8686978108779057,0.01845604284358274,0.8302384869979862,0.016867451087522523,0.8531945122546626,0.019758061022007233
6,768,0,1.0,,20,0.8116046039268788,0.019453897110623307,0.7679427356532977,0.01387991728074177,0.7718512476761039,0.015724462528395516
7,768,0,1.0,balanced,20,0.8677499435793274,0.015719372070009882,0.8277744128019725,0.012688842090518111,0.8504148357907756,0.017174563922373147
8,768,0,3.0,,20,0.8106522229744979,0.02120230440558812,0.7638555947240515,0.02159778439771903,0.7697459845182092,0.01950326812358483
9,768,0,3.0,balanced,20,0.8677499435793274,0.015719372070009882,0.8277744128019725,0.012688842090518111,0.8504148357907756,0.017174563922373147
10,768,384,0.03,,20,0.8106657639359062,0.021077103676700192,0.7669561621293364,0.017304719449199712,0.7697350056450013,0.020419395012717816
11,768,384,0.03,balanced,20,0.8668020762807492,0.02058635390702291,0.8319521218276229,0.020993956335923887,0.8539895735008516,0.024058377305399437
12,768,384,0.1,,20,0.8144662604378246,0.019242998380112553,0.7726422777412807,0.014337648374453086,0.7743362815620667,0.016007117686537516
13,768,384,0.1,balanced,20,0.8677544572331302,0.019770861966193196,0.8330681551091498,0.019782096776251357,0.8544680424003731,0.023645853405699344
14,768,384,0.3,,20,0.8163710223425864,0.01739209620448143,0.7747804957466952,0.012978705075855638,0.7773500660232195,0.014131688421386436
15,768,384,0.3,balanced,20,0.8677544572331302,0.019770861966193196,0.8329792142589889,0.018847806835182935,0.8545637361802776,0.023585852714348945
16,768,384,1.0,,20,0.8154231550440082,0.016492316587606654,0.7741938776800379,0.011792666385466107,0.7755284665700412,0.012765076188474165
17,768,384,1.0,balanced,20,0.8677544572331302,0.019770861966193196,0.833870941798916,0.018075913203320845,0.8545637361802776,0.023585852714348945
18,768,384,3.0,,20,0.8135183931392463,0.017054092931956758,0.7722849308048911,0.012977020145397427,0.7738804070272447,0.013605512252541915
19,768,384,3.0,balanced,20,0.8687068381855111,0.02048545833322943,0.8342860581759945,0.018350783327573592,0.8547785589514912,0.023812434256540452
20,1024,0,0.03,,20,0.8353960731211917,0.027028943138353474,0.7917930024990556,0.022714142795829378,0.7988893643581835,0.025408173579980757
21,1024,0,0.03,balanced,20,0.8658361543669602,0.01297480699325783,0.8350916929370873,0.016875083417100676,0.8566834293526023,0.01583689039726329
22,1024,0,0.1,,20,0.8411013315278719,0.01920703371459266,0.7999568142234403,0.01543066529390909,0.8064190923578363,0.018974364460943756
23,1024,0,0.1,balanced,20,0.870593545475062,0.014616469708152117,0.8354109865877548,0.020061105090942485,0.8586616704097907,0.017104356144248798
24,1024,0,0.3,,20,0.843001579778831,0.017079475136383027,0.8034028096371166,0.01403751766812745,0.8094892677964328,0.016311914501183414
25,1024,0,0.3,balanced,20,0.8705890318212592,0.015552202732687563,0.8356752330113328,0.02234130495555991,0.8576090388308433,0.019159795435836926
26,1024,0,1.0,,20,0.845854208982171,0.017513019797204956,0.8064792182932662,0.01493571450275673,0.8133887893275332,0.017517767799500025
27,1024,0,1.0,balanced,20,0.870593545475062,0.014302828110018954,0.8336647840676283,0.020090859581998105,0.8553078312664779,0.017396615853362066
28,1024,0,3.0,,20,0.8439494470774092,0.01823830389138841,0.8017964192779898,0.022374451321629744,0.8108050572701169,0.021087305466043118
29,1024,0,3.0,balanced,20,0.8724983073798238,0.015209691306404656,0.8364684884135049,0.020933065516217226,0.8579268788855255,0.018090062782298667
30,1024,512,0.03,,20,0.8316091175806817,0.021453390351805327,0.7857586781538776,0.02126164058580846,0.7962050769271026,0.02180808667756641
31,1024,512,0.03,balanced,20,0.8744120965921913,0.013263326962147605,0.8420591660437431,0.019444141022983485,0.8636939480736473,0.0143672472365776
32,1024,512,0.1,,20,0.8363619950349808,0.01996928081206405,0.7965320754579677,0.015761357373526432,0.8032457847572841,0.019109432493789536
33,1024,512,0.1,balanced,20,0.8725118483412322,0.014786519053804513,0.8377687446646014,0.019179755653356292,0.8598342989508403,0.01741648271290314
