order,fold,c,class_weight,nfft,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,0.03,,2048,840,211,840,211,0.6018957345971564,0.49484839324304575,0.4853794947005915
0,2,0.03,,2048,841,210,841,210,0.5857142857142857,0.46659925741051633,0.4649833458104135
0,3,0.03,,2048,841,210,841,210,0.5904761904761905,0.4852510966247673,0.4854176838199395
0,4,0.03,,2048,841,210,841,210,0.6285714285714286,0.5079153161007598,0.49844945155095527
0,5,0.03,,2048,841,210,841,210,0.6,0.4807893277474629,0.4944788122585557
1,1,0.03,balanced,2048,840,211,840,211,0.6587677725118484,0.6059015404487847,0.6417760246044191
1,2,0.03,balanced,2048,841,210,841,210,0.6333333333333333,0.6176993534562206,0.6488801820568738
1,3,0.03,balanced,2048,841,210,841,210,0.5952380952380952,0.5616939505568499,0.6068096377306903
1,4,0.03,balanced,2048,841,210,841,210,0.6428571428571429,0.5928070959135149,0.6287178986427107
1,5,0.03,balanced,2048,841,210,841,210,0.5904761904761905,0.5369212020100075,0.574773697357731
2,1,0.1,,2048,840,211,840,211,0.6255924170616114,0.5360568052518516,0.52105044569662
2,2,0.1,,2048,841,210,841,210,0.6476190476190476,0.5890514736489083,0.5652819820113053
2,3,0.1,,2048,841,210,841,210,0.6,0.5390078004685708,0.5308522930703381
2,4,0.1,,2048,841,210,841,210,0.6619047619047619,0.6049407011813027,0.5957710835530383
2,5,0.1,,2048,841,210,841,210,0.6095238095238096,0.5026771474139895,0.5235792562639091
3,1,0.1,balanced,2048,840,211,840,211,0.6492890995260664,0.6005754718918984,0.6236799185383882
3,2,0.1,balanced,2048,841,210,841,210,0.6333333333333333,0.6156252803619436,0.6328408955288655
3,3,0.1,balanced,2048,841,210,841,210,0.6190476190476191,0.5767812281337286,0.6122249617550369
3,4,0.1,balanced,2048,841,210,841,210,0.6523809523809524,0.6008292378803525,0.6335599550825115
3,5,0.1,balanced,2048,841,210,841,210,0.6333333333333333,0.6016909022782284,0.6198048677206129
4,1,0.3,,2048,840,211,840,211,0.6303317535545023,0.5388847246092463,0.5260887768185424
4,2,0.3,,2048,841,210,841,210,0.6285714285714286,0.5868413775866099,0.5562077542340701
4,3,0.3,,2048,841,210,841,210,0.6142857142857143,0.5397305240488266,0.5440952218207857
4,4,0.3,,2048,841,210,841,210,0.6619047619047619,0.6164962124587027,0.6155526804023044
4,5,0.3,,2048,841,210,841,210,0.6285714285714286,0.5614211935756092,0.5656362704571462
5,1,0.3,balanced,2048,840,211,840,211,0.6113744075829384,0.5445861701367722,0.5672056382361557
5,2,0.3,balanced,2048,841,210,841,210,0.6333333333333333,0.6123560496136673,0.6165302325076761
5,3,0.3,balanced,2048,841,210,841,210,0.6238095238095238,0.5675038330719048,0.6022914428929467
5,4,0.3,balanced,2048,841,210,841,210,0.6523809523809524,0.6102250779615006,0.6397178009959964
5,5,0.3,balanced,2048,841,210,841,210,0.638095238095238,0.5905718894108986,0.614399547697867
6,1,1.0,,2048,840,211,840,211,0.6350710900473934,0.5255078953807163,0.5310699080270066
6,2,1.0,,2048,841,210,841,210,0.6190476190476191,0.5897831019522656,0.5606440343282448
6,3,1.0,,2048,841,210,841,210,0.5857142857142857,0.5259429367216785,0.5317372164176676
6,4,1.0,,2048,841,210,841,210,0.6571428571428571,0.6339051501029723,0.6344546431012595
6,5,1.0,,2048,841,210,841,210,0.6142857142857143,0.5487086460069011,0.557282594058357
7,1,1.0,balanced,2048,840,211,840,211,0.6161137440758294,0.5511976888915946,0.5708034409936221
7,2,1.0,balanced,2048,841,210,841,210,0.6238095238095238,0.6050846840458436,0.604363451919843
7,3,1.0,balanced,2048,841,210,841,210,0.5952380952380952,0.5341963908486639,0.5585339159587279
7,4,1.0,balanced,2048,841,210,841,210,0.6476190476190476,0.6018159728323749,0.6285335904696806
7,5,1.0,balanced,2048,841,210,841,210,0.6238095238095238,0.561219952918495,0.5818946159005867
8,1,3.0,,2048,840,211,840,211,0.6350710900473934,0.5289918223451646,0.5338040160242725
8,2,3.0,,2048,841,210,841,210,0.6238095238095238,0.5914398987221444,0.5634574802807887
8,3,3.0,,2048,841,210,841,210,0.5761904761904761,0.5169254044508537,0.5212109006281938
8,4,3.0,,2048,841,210,841,210,0.6523809523809524,0.6324340119978833,0.6306415389122155
8,5,3.0,,2048,841,210,841,210,0.5952380952380952,0.5463074792065171,0.5477126416754899
9,1,3.0,balanced,2048,840,211,840,211,0.6066350710900474,0.5304921622217673,0.5421604048317891
9,2,3.0,balanced,2048,841,210,841,210,0.6190476190476191,0.597673168741039,0.596300138875327
9,3,3.0,balanced,2048,841,210,841,210,0.580952380952381,0.5231847383522549,0.5420841063698206
9,4,3.0,balanced,2048,841,210,841,210,0.6571428571428571,0.6299130395038324,0.6416288285649188
9,5,3.0,balanced,2048,841,210,841,210,0.6,0.5510320969748714,0.5741213630587801
10,1,10.0,,2048,840,211,840,211,0.6161137440758294,0.5193944200349666,0.5286135506834312
10,2,10.0,,2048,841,210,841,210,0.6142857142857143,0.5785571668725348,0.5515726545801733
10,3,10.0,,2048,841,210,841,210,0.5761904761904761,0.5124876064415588,0.5249190345994856
10,4,10.0,,2048,841,210,841,210,0.6476190476190476,0.6423317198076625,0.6353090518504052
10,5,10.0,,2048,841,210,841,210,0.580952380952381,0.5243556600153738,0.5303229824625225
11,1,10.0,balanced,2048,840,211,840,211,0.6161137440758294,0.5277668681538754,0.5411703437355803
11,2,10.0,balanced,2048,841,210,841,210,0.6238095238095238,0.5954864854338264,0.5936063101476636
11,3,10.0,balanced,2048,841,210,841,210,0.5761904761904761,0.5267185119679808,0.5434023370113595
11,4,10.0,balanced,2048,841,210,841,210,0.6428571428571429,0.6240958130787536,0.6333776812160271
11,5,10.0,balanced,2048,841,210,841,210,0.5857142857142857,0.5424049323926505,0.5646881160757764
