order,c,class_weight,nfft,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,0.03,,2048,0.6013315278718123,0.014871718719817835,0.4870806782253105,0.013833557678765785,0.4857417576280911,0.01156693155427998
1,0.03,balanced,2048,0.6241345068833221,0.02684214396539398,0.5830046284770755,0.0296712253721562,0.620191488078485,0.026845791808101867
2,0.1,,2048,0.6289280072218462,0.023070760682715904,0.5543467855929245,0.03742651205413382,0.5473070121190421,0.02896562521256844
3,0.1,balanced,2048,0.6374768675242609,0.012129596208254548,0.5991004241092304,0.012514731505918324,0.624422119725083,0.00806246069478042
4,0.3,,2048,0.6327330173775672,0.01569520551540065,0.5686748064557989,0.029647079245820832,0.5615161407465697,0.030078858307028472
5,0.3,balanced,2048,0.6317986910403972,0.013759427760379379,0.5850486040389486,0.025903998339496456,0.6080289324661283,0.023733947703320792
6,1.0,,2048,0.6222523132475739,0.02362386637242061,0.5647695460329067,0.04174289171116566,0.5630376791865072,0.03779124405941274
7,1.0,balanced,2048,0.621317986910404,0.01680122733469011,0.5707029379073945,0.028118446370278626,0.5888258030484921,0.024934202321754008
8,3.0,,2048,0.6165380275332882,0.027432376277030764,0.5632197233445126,0.042866614567909446,0.559365315504192,0.03831962956203869
9,3.0,balanced,2048,0.612755585646581,0.025382785692863164,0.566459041158753,0.041000009603436534,0.5792589683401271,0.037323102021644086
10,10.0,,2048,0.6070322726246897,0.026129481437714062,0.5554253146344192,0.04938623580865584,0.5541474548352036,0.041635851668857596
11,10.0,balanced,2048,0.6089370345294516,0.0246369762423941,0.5632945222054173,0.039419571682614826,0.5752489576372815,0.03464976606363883
