order,fold,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,2,5,0.03,,1,False,267,67,270,67,0.5223880597014925,0.4437528344671201,0.4514285714285714
0,2,2,5,0.03,,1,False,267,67,270,67,0.5223880597014925,0.44693251193251193,0.4549603174603174
0,3,2,5,0.03,,1,False,267,67,270,67,0.4925373134328358,0.39958937198067634,0.43813492063492065
0,4,2,5,0.03,,1,False,267,67,270,67,0.582089552238806,0.5147503510549424,0.5166666666666666
0,5,2,5,0.03,,1,False,268,66,268,69,0.5909090909090909,0.4981433101781939,0.5171428571428571
1,1,2,5,0.03,,1,True,267,67,270,67,0.6119402985074627,0.5219795110039013,0.5460317460317461
1,2,2,5,0.03,,1,True,267,67,270,67,0.6567164179104478,0.5827350427350427,0.5821031746031746
1,3,2,5,0.03,,1,True,267,67,270,67,0.6417910447761194,0.5404986826039457,0.5671031746031746
1,4,2,5,0.03,,1,True,267,67,270,67,0.7164179104477612,0.6241269841269841,0.6452380952380953
1,5,2,5,0.03,,1,True,268,66,268,69,0.7424242424242424,0.6447619047619048,0.6680952380952381
2,1,2,5,0.03,,2,False,267,67,270,67,0.5373134328358209,0.4573304473304473,0.46571428571428564
2,2,2,5,0.03,,2,False,267,67,270,67,0.5223880597014925,0.45346930846930844,0.4581349206349207
2,3,2,5,0.03,,2,False,267,67,270,67,0.4925373134328358,0.39958937198067634,0.43813492063492065
2,4,2,5,0.03,,2,False,267,67,270,67,0.5970149253731343,0.5312309759907015,0.530952380952381
2,5,2,5,0.03,,2,False,268,66,268,69,0.5909090909090909,0.4981433101781939,0.5171428571428571
3,1,2,5,0.03,,2,True,267,67,270,67,0.6567164179104478,0.5671794871794872,0.5888888888888889
3,2,2,5,0.03,,2,True,267,67,270,67,0.6865671641791045,0.5942857142857142,0.616388888888889
3,3,2,5,0.03,,2,True,267,67,270,67,0.6567164179104478,0.5495405179615706,0.5813888888888888
3,4,2,5,0.03,,2,True,267,67,270,67,0.7164179104477612,0.6214285714285713,0.6452380952380953
3,5,2,5,0.03,,2,True,268,66,268,69,0.7424242424242424,0.6447619047619048,0.6680952380952381
4,1,2,5,0.03,balanced,1,False,267,67,270,67,0.9402985074626866,0.9456556455240666,0.9446031746031747
4,2,2,5,0.03,balanced,1,False,267,67,270,67,0.8805970149253731,0.8650757575757577,0.8702777777777777
