policy,C,class_weight,non_anchor_weight,mode,anchor_margin_max,meta_margin_min,cv_accuracy,cv_macro_f1,anchor_cv_accuracy,anchor_cv_macro_f1,net_accuracy_gain,overrides
CH_SVM_TOP5,0.03,,1.0,always,,0.0,0.9101796407185628,0.9095657799272742,0.9011976047904192,0.9001024111909812,0.008982035928143617,12
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.0,0.907185628742515,0.905200379685476,0.9011976047904192,0.9001024111909812,0.0059880239520957446,5
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.05,0.907185628742515,0.905200379685476,0.9011976047904192,0.9001024111909812,0.0059880239520957446,5
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.1,0.907185628742515,0.905200379685476,0.9011976047904192,0.9001024111909812,0.0059880239520957446,5
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.2,0.907185628742515,0.905200379685476,0.9011976047904192,0.9001024111909812,0.0059880239520957446,5
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.0,0.907185628742515,0.9064308019020668,0.9011976047904192,0.9001024111909812,0.0059880239520957446,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.05,0.907185628742515,0.9064308019020668,0.9011976047904192,0.9001024111909812,0.0059880239520957446,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.1,0.907185628742515,0.9067324876083915,0.9011976047904192,0.9001024111909812,0.0059880239520957446,9
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.2,0.907185628742515,0.9067324876083915,0.9011976047904192,0.9001024111909812,0.0059880239520957446,9
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.0,0.907185628742515,0.9064308019020668,0.9011976047904192,0.9001024111909812,0.0059880239520957446,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.05,0.907185628742515,0.9064308019020668,0.9011976047904192,0.9001024111909812,0.0059880239520957446,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.1,0.907185628742515,0.9067324876083915,0.9011976047904192,0.9001024111909812,0.0059880239520957446,9
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.2,0.907185628742515,0.9067324876083915,0.9011976047904192,0.9001024111909812,0.0059880239520957446,9
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.0,0.907185628742515,0.9064308019020668,0.9011976047904192,0.9001024111909812,0.0059880239520957446,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.05,0.907185628742515,0.9064308019020668,0.9011976047904192,0.9001024111909812,0.0059880239520957446,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.1,0.907185628742515,0.9067324876083915,0.9011976047904192,0.9001024111909812,0.0059880239520957446,9
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.2,0.907185628742515,0.9067324876083915,0.9011976047904192,0.9001024111909812,0.0059880239520957446,9
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.0,0.9101796407185628,0.9098925267328942,0.9011976047904192,0.9001024111909812,0.008982035928143617,11
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.05,0.9101796407185628,0.9098925267328942,0.9011976047904192,0.9001024111909812,0.008982035928143617,11
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.1,0.9101796407185628,0.9101942124392192,0.9011976047904192,0.9001024111909812,0.008982035928143617,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.2,0.9101796407185628,0.9101942124392192,0.9011976047904192,0.9001024111909812,0.008982035928143617,10
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.0,0.9101796407185628,0.9095657799272742,0.9011976047904192,0.9001024111909812,0.008982035928143617,12
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.05,0.9101796407185628,0.9095657799272742,0.9011976047904192,0.9001024111909812,0.008982035928143617,12
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.1,0.9101796407185628,0.9098674656335991,0.9011976047904192,0.9001024111909812,0.008982035928143617,11
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.2,0.9101796407185628,0.9098674656335991,0.9011976047904192,0.9001024111909812,0.008982035928143617,11
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.0,0.9101796407185628,0.9095657799272742,0.9011976047904192,0.9001024111909812,0.008982035928143617,12
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.05,0.9101796407185628,0.9095657799272742,0.9011976047904192,0.9001024111909812,0.008982035928143617,12
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.1,0.9101796407185628,0.9098674656335991,0.9011976047904192,0.9001024111909812,0.008982035928143617,11
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.2,0.9101796407185628,0.9098674656335991,0.9011976047904192,0.9001024111909812,0.008982035928143617,11
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.0,0.9101796407185628,0.9095657799272742,0.9011976047904192,0.9001024111909812,0.008982035928143617,12
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.05,0.9101796407185628,0.9095657799272742,0.9011976047904192,0.9001024111909812,0.008982035928143617,12
