order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,768,0,0.03,,20,267,67,270,67,0.7761194029850746,0.7316955266955267,0.7631746031746032
0,2,768,0,0.03,,20,267,67,270,67,0.8507462686567164,0.8125480367585631,0.8438888888888888
0,3,768,0,0.03,,20,267,67,270,67,0.8059701492537313,0.7943725881961177,0.8183333333333334
0,4,768,0,0.03,,20,267,67,270,67,0.8805970149253731,0.8764646464646466,0.8895238095238096
0,5,768,0,0.03,,20,268,66,268,69,0.8636363636363636,0.8454492875545508,0.8449567099567101
1,1,768,0,0.03,balanced,20,267,67,270,67,0.8955223880597015,0.8913161984214615,0.8946031746031746
1,2,768,0,0.03,balanced,20,267,67,270,67,0.8656716417910447,0.8730768096712369,0.8752777777777778
1,3,768,0,0.03,balanced,20,267,67,270,67,0.8656716417910447,0.8677741702741703,0.8833333333333334
1,4,768,0,0.03,balanced,20,267,67,270,67,0.9104477611940298,0.9033131024462294,0.9112698412698412
1,5,768,0,0.03,balanced,20,268,66,268,69,0.9090909090909091,0.9004220779220778,0.9050757575757575
2,1,768,0,0.1,,20,267,67,270,67,0.8059701492537313,0.7707070707070708,0.7885714285714285
2,2,768,0,0.1,,20,267,67,270,67,0.8656716417910447,0.8505597326649956,0.8638888888888889
2,3,768,0,0.1,,20,267,67,270,67,0.8208955223880597,0.8239976689976689,0.8416666666666666
2,4,768,0,0.1,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
2,5,768,0,0.1,,20,268,66,268,69,0.8787878787878788,0.8589749285801919,0.8592424242424244
3,1,768,0,0.1,balanced,20,267,67,270,67,0.8955223880597015,0.8913161984214615,0.8946031746031746
3,2,768,0,0.1,balanced,20,267,67,270,67,0.8656716417910447,0.8859640522875818,0.8827777777777778
3,3,768,0,0.1,balanced,20,267,67,270,67,0.8805970149253731,0.8816020091020091,0.8933333333333333
3,4,768,0,0.1,balanced,20,267,67,270,67,0.9104477611940298,0.9033131024462294,0.9112698412698412
3,5,768,0,0.1,balanced,20,268,66,268,69,0.9090909090909091,0.9004220779220778,0.9050757575757575
4,1,768,0,0.3,,20,267,67,270,67,0.7910447761194029,0.733816425120773,0.7685714285714286
4,2,768,0,0.3,,20,267,67,270,67,0.8656716417910447,0.8505597326649956,0.8638888888888889
4,3,768,0,0.3,,20,267,67,270,67,0.835820895522388,0.8388028638028638,0.8583333333333334
4,4,768,0,0.3,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
4,5,768,0,0.3,,20,268,66,268,69,0.8787878787878788,0.8589749285801919,0.8592424242424244
5,1,768,0,0.3,balanced,20,267,67,270,67,0.8805970149253731,0.8687806929912194,0.8746031746031745
5,2,768,0,0.3,balanced,20,267,67,270,67,0.8656716417910447,0.8859640522875818,0.8827777777777778
5,3,768,0,0.3,balanced,20,267,67,270,67,0.8955223880597015,0.8956216169451464,0.9033333333333333
