order,chunk_size,overlap,c,class_weight,min_char_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,768,0,0.03,,20,0.8354138398914518,0.03861573433442417,0.812106017133881,0.04905980780120682,0.831975468975469,0.04133260381621628
1,768,0,0.03,balanced,20,0.8892808683853459,0.019971093072427802,0.8871804717470353,0.014340320521530218,0.8939119769119769,0.013308225166116606
2,768,0,0.1,,20,0.8473993668023517,0.028537079691581337,0.8325443182548445,0.033444867839000005,0.8435786435786436,0.028726327381960407
3,768,0,0.1,balanced,20,0.8922659430122117,0.017132910846854386,0.8925234880358719,0.008277269464823373,0.8974119769119768,0.009894022708427978
4,768,0,0.3,,20,0.8473993668023517,0.031505211122650964,0.828127228098624,0.0477173309686521,0.8429119769119768,0.037250828222710496
5,768,0,0.3,balanced,20,0.8892356399819086,0.015109536343715868,0.8875610677592103,0.011663211736921112,0.8920786435786436,0.013418895987747039
6,768,0,1.0,,20,0.8473993668023517,0.031505211122650964,0.828127228098624,0.0477173309686521,0.8429119769119768,0.037250828222710496
7,768,0,1.0,balanced,20,0.8892356399819086,0.015109536343715868,0.8875610677592103,0.011663211736921112,0.8920786435786436,0.013418895987747039
8,768,0,3.0,,20,0.8443690637720488,0.028966806308804122,0.8254902510405943,0.046282490316149276,0.8395786435786435,0.03637580238087787
9,768,0,3.0,balanced,20,0.8892356399819086,0.015109536343715868,0.8875610677592103,0.011663211736921112,0.8920786435786436,0.013418895987747039
10,768,384,0.03,,20,0.8324287652645861,0.0412625841166854,0.8170298097155682,0.060329957251261904,0.8323556998556999,0.05208273835732706
11,768,384,0.03,balanced,20,0.8982813206693804,0.02362914641455986,0.8983565859664931,0.019887811543191816,0.9036341991341992,0.01811417586458847
12,768,384,0.1,,20,0.8354138398914518,0.04085814911062382,0.8240865249301782,0.06134852319874736,0.8338556998556997,0.050915243253353386
13,768,384,0.1,balanced,20,0.8952962460425147,0.024707296125907937,0.8952564671310801,0.022736731485653427,0.9001341991341991,0.02119784129288517
14,768,384,0.3,,20,0.8353686114880144,0.038757337591639025,0.8244828186948929,0.06075412223174029,0.8338556998557,0.05113864896873568
15,768,384,0.3,balanced,20,0.8982813206693804,0.021661714036546927,0.8982564671310801,0.019584966432615602,0.9021341991341991,0.019953571416538068
16,768,384,1.0,,20,0.8413839891451831,0.034540881661862664,0.8294830856913237,0.05736192444375591,0.8395699855699856,0.04604629624338164
17,768,384,1.0,balanced,20,0.9012663952962461,0.019982357027453525,0.9013378068439988,0.019289593374415638,0.9041341991341991,0.01952341597399502
18,768,384,3.0,,20,0.8413839891451831,0.034540881661862664,0.8294830856913237,0.05736192444375591,0.8395699855699856,0.04604629624338164
19,768,384,3.0,balanced,20,0.8982813206693804,0.021661714036546927,0.8989848656675281,0.019339106611389066,0.9019119769119769,0.020050115348055505
20,1024,0,0.03,,20,0.8443238353686114,0.02415620193357379,0.8292003880192735,0.03678690395291807,0.8414033189033191,0.036618835691635356
21,1024,0,0.03,balanced,20,0.9101763907734057,0.00945522463510683,0.910876584715594,0.01262335417348181,0.914134199134199,0.011230176924106952
22,1024,0,0.1,,20,0.8683401175938489,0.021553790099944174,0.8622407161122332,0.033094378804843144,0.8671414141414143,0.031979076210485374
23,1024,0,0.1,balanced,20,0.9071460877431028,0.011520021509780345,0.908330686513349,0.011213679329153733,0.9123160173160173,0.011834592494278486
24,1024,0,0.3,,20,0.8712799638172772,0.020098110169853665,0.864508605429658,0.033753581815603256,0.8706414141414143,0.034182438371974114
25,1024,0,0.3,balanced,20,0.904161013116237,0.012191886417142883,0.9054006162396255,0.012204588740734013,0.9098160173160172,0.012143763807776105
26,1024,0,1.0,,20,0.8742198100407055,0.02617564298895522,0.8691056126536003,0.04086554584485453,0.8725223665223666,0.040169230432495616
27,1024,0,1.0,balanced,20,0.8981456354590683,0.01507782291163429,0.897555276508837,0.018618481966627902,0.9008160173160175,0.021248186497522126
28,1024,0,3.0,,20,0.8712347354138398,0.030822949548229398,0.8612417437858951,0.05298376232828938,0.8685223665223665,0.04691058674302646
29,1024,0,3.0,balanced,20,0.8951605608322026,0.0166926512085443,0.8952175449249754,0.017627775294718828,0.8985937950937952,0.020325768482845855
30,1024,512,0.03,,20,0.8653550429669833,0.03376220794859243,0.8595865503605442,0.045545660610563185,0.8653953823953826,0.04335205933062744
31,1024,512,0.03,balanced,20,0.9101763907734057,0.016358932833760154,0.9119541346166733,0.015579037998281905,0.9148160173160174,0.014064526526891169
32,1024,512,0.1,,20,0.868340117593849,0.0286529699820235,0.8654785276642862,0.03555540878565925,0.8693953823953825,0.035696025591253705
33,1024,512,0.1,balanced,20,0.9101311623699683,0.01664847639474319,0.9106718111609753,0.017653641144118982,0.9118160173160172,0.019005048245310435
34,1024,512,0.3,,20,0.8593848937132519,0.034490149670091834,0.8545246683141421,0.044945617843083374,0.8583953823953824,0.041501385195799996
35,1024,512,0.3,balanced,20,0.9101311623699683,0.025171384296152836,0.9119879427418127,0.025864743555883085,0.9111493506493507,0.026313021871116147
36,1024,512,1.0,,20,0.8623699683401176,0.037959970248688815,0.8583481977259069,0.049809561328216685,0.8623953823953825,0.04637146779128536
37,1024,512,1.0,balanced,20,0.9041610131162369,0.020395151635798907,0.9017883449539796,0.021348247304511247,0.9038160173160174,0.022521112690434164
38,1024,512,3.0,,20,0.8623699683401176,0.037959970248688815,0.8583481977259069,0.049809561328216685,0.8623953823953825,0.04637146779128536
39,1024,512,3.0,balanced,20,0.9011759384893713,0.022431646691529365,0.8960790717710223,0.029031621441929684,0.8998160173160172,0.0269240275315187
40,1280,0,0.03,,20,0.8682948891904114,0.025520043977825434,0.8595955063168687,0.03481821828429162,0.8692049062049063,0.03505254515398034
41,1280,0,0.03,balanced,20,0.8981908638625056,0.01985851416206435,0.9004504640526314,0.015114016987783462,0.9043715728715729,0.016254694926794558
42,1280,0,0.1,,20,0.8593396653098144,0.03941675469676679,0.8507597899176848,0.05220067556525744,0.8620620490620492,0.05056549143680445
43,1280,0,0.1,balanced,20,0.8862505653550429,0.02592183389898811,0.8865019907852727,0.02339071301505859,0.8910144300144299,0.028327284758897852
44,1280,0,0.3,,20,0.8533242876526458,0.03926065100741736,0.8432197250633783,0.05095702998448744,0.8520620490620491,0.0503378221745137
45,1280,0,0.3,balanced,20,0.8832654907281773,0.030324084573756373,0.8821204241235202,0.02581359510265168,0.88651443001443,0.03347981877601623
46,1280,0,1.0,,20,0.8562641338760741,0.03615489658197534,0.8466638397721988,0.04606853657841253,0.8538080808080808,0.04618541806048576
47,1280,0,1.0,balanced,20,0.8832654907281773,0.030324084573756373,0.8827413391562,0.025886777166133513,0.88651443001443,0.03347981877601623
48,1280,0,3.0,,20,0.8622342831298054,0.03472245536966568,0.8547146285087461,0.04614019863815284,0.8603080808080807,0.04646436265855801
