order,fold,c,class_weight,nfft,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,0.03,,2048,267,67,270,67,0.746268656716418,0.7290406815406816,0.7363492063492064
0,2,0.03,,2048,267,67,270,67,0.7761194029850746,0.7812698412698412,0.7638095238095238
0,3,0.03,,2048,267,67,270,67,0.6865671641791045,0.6504201680672269,0.6513888888888889
0,4,0.03,,2048,267,67,270,67,0.7164179104477612,0.7049518999519,0.6996031746031746
0,5,0.03,,2048,268,66,268,69,0.8333333333333334,0.8067386560807612,0.8150324675324676
1,1,0.03,balanced,2048,267,67,270,67,0.7910447761194029,0.7782410571884255,0.7817460317460319
1,2,0.03,balanced,2048,267,67,270,67,0.7761194029850746,0.773238006403641,0.7680952380952382
1,3,0.03,balanced,2048,267,67,270,67,0.6716417910447762,0.6505564043799338,0.6648809523809524
1,4,0.03,balanced,2048,267,67,270,67,0.7761194029850746,0.7757401078453711,0.7855555555555556
1,5,0.03,balanced,2048,268,66,268,69,0.8484848484848485,0.8437369519025866,0.8568506493506494
2,1,0.1,,2048,267,67,270,67,0.7761194029850746,0.7720461663939926,0.7674603174603174
2,2,0.1,,2048,267,67,270,67,0.7611940298507462,0.7633075335397317,0.7513095238095239
2,3,0.1,,2048,267,67,270,67,0.7014925373134329,0.6801654210942136,0.6797222222222222
2,4,0.1,,2048,267,67,270,67,0.7313432835820896,0.7220947570947571,0.7162698412698413
2,5,0.1,,2048,268,66,268,69,0.8787878787878788,0.8735317460317459,0.8784415584415584
3,1,0.1,balanced,2048,267,67,270,67,0.8059701492537313,0.8005275426328058,0.8017460317460318
3,2,0.1,balanced,2048,267,67,270,67,0.746268656716418,0.752953216374269,0.7413095238095239
3,3,0.1,balanced,2048,267,67,270,67,0.746268656716418,0.72692276505744,0.7413888888888888
3,4,0.1,balanced,2048,267,67,270,67,0.7761194029850746,0.7882581453634085,0.7812698412698411
3,5,0.1,balanced,2048,268,66,268,69,0.8636363636363636,0.8594900713321765,0.8768506493506493
4,1,0.3,,2048,267,67,270,67,0.7611940298507462,0.7584209173740066,0.7531746031746032
4,2,0.3,,2048,267,67,270,67,0.7761194029850746,0.7726057791537668,0.7613095238095239
4,3,0.3,,2048,267,67,270,67,0.6865671641791045,0.6696625252972003,0.6630555555555555
4,4,0.3,,2048,267,67,270,67,0.7611940298507462,0.7363200834253466,0.7405555555555556
4,5,0.3,,2048,268,66,268,69,0.8939393939393939,0.8844747899159662,0.8875324675324675
5,1,0.3,balanced,2048,267,67,270,67,0.7761194029850746,0.7732115253167885,0.7731746031746031
5,2,0.3,balanced,2048,267,67,270,67,0.746268656716418,0.752953216374269,0.7413095238095239
5,3,0.3,balanced,2048,267,67,270,67,0.7313432835820896,0.7095615151961902,0.7205555555555556
5,4,0.3,balanced,2048,267,67,270,67,0.7761194029850746,0.7831486291486291,0.7705555555555555
5,5,0.3,balanced,2048,268,66,268,69,0.8939393939393939,0.8879761904761903,0.8984415584415585
6,1,1.0,,2048,267,67,270,67,0.7611940298507462,0.7584209173740066,0.7531746031746032
6,2,1.0,,2048,267,67,270,67,0.7313432835820896,0.7331575149996203,0.7170238095238096
6,3,1.0,,2048,267,67,270,67,0.6716417910447762,0.6625368568480023,0.6562698412698411
6,4,1.0,,2048,267,67,270,67,0.7761194029850746,0.7458417508417508,0.7505555555555556
6,5,1.0,,2048,268,66,268,69,0.8939393939393939,0.8829163483575246,0.8875324675324675
7,1,1.0,balanced,2048,267,67,270,67,0.7611940298507462,0.7526988470466731,0.7531746031746032
7,2,1.0,balanced,2048,267,67,270,67,0.746268656716418,0.7480781499202551,0.7370238095238095
7,3,1.0,balanced,2048,267,67,270,67,0.7164179104477612,0.7037473362550762,0.7080555555555555
7,4,1.0,balanced,2048,267,67,270,67,0.8059701492537313,0.8034514613926378,0.7905555555555557
7,5,1.0,balanced,2048,268,66,268,69,0.8939393939393939,0.8872802197802198,0.8984415584415585
8,1,3.0,,2048,267,67,270,67,0.7611940298507462,0.7540083708561969,0.7531746031746032
8,2,3.0,,2048,267,67,270,67,0.7164179104477612,0.7226311992101466,0.7045238095238096
8,3,3.0,,2048,267,67,270,67,0.6865671641791045,0.6802857745969202,0.6729365079365079
8,4,3.0,,2048,267,67,270,67,0.7761194029850746,0.7448860398860399,0.7505555555555556
8,5,3.0,,2048,268,66,268,69,0.8787878787878788,0.871141456582633,0.8784415584415584
9,1,3.0,balanced,2048,267,67,270,67,0.7611940298507462,0.7540083708561969,0.7531746031746032
9,2,3.0,balanced,2048,267,67,270,67,0.7313432835820896,0.7331575149996203,0.7170238095238096
9,3,3.0,balanced,2048,267,67,270,67,0.6865671641791045,0.6792067066060874,0.6729365079365079
9,4,3.0,balanced,2048,267,67,270,67,0.7761194029850746,0.7448860398860399,0.7505555555555556
9,5,3.0,balanced,2048,268,66,268,69,0.8939393939393939,0.8872802197802198,0.8984415584415585
10,1,10.0,,2048,267,67,270,67,0.746268656716418,0.7386049017762572,0.7388888888888889
10,2,10.0,,2048,267,67,270,67,0.7313432835820896,0.7371588284436582,0.7188095238095238
10,3,10.0,,2048,267,67,270,67,0.6865671641791045,0.678795875607021,0.6729365079365079
10,4,10.0,,2048,267,67,270,67,0.7761194029850746,0.7448860398860399,0.7505555555555556
10,5,10.0,,2048,268,66,268,69,0.8787878787878788,0.8668217893217894,0.8708658008658009
11,1,10.0,balanced,2048,267,67,270,67,0.7313432835820896,0.7249260969209818,0.7277777777777777
11,2,10.0,balanced,2048,267,67,270,67,0.7313432835820896,0.735968352253182,0.7188095238095238
11,3,10.0,balanced,2048,267,67,270,67,0.6865671641791045,0.678795875607021,0.6729365079365079
11,4,10.0,balanced,2048,267,67,270,67,0.7761194029850746,0.7511716061716062,0.7572222222222222
11,5,10.0,balanced,2048,268,66,268,69,0.8787878787878788,0.8702237777702173,0.8784415584415584
