order,c,class_weight,nfft,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,0.03,,2048,0.7517412935323383,0.0505507892373355,0.7344842493820822,0.05545836773055437,0.7332366522366522,0.05561512573387772
1,0.03,balanced,2048,0.7726820443238354,0.05712445831602657,0.7643025055439916,0.0626944207123448,0.7714256854256855,0.06158970572852998
2,0.1,,2048,0.7697874265038445,0.060228204364465805,0.7622291248308882,0.06454615356647728,0.7586406926406927,0.0670927615829142
3,0.1,balanced,2048,0.7876526458616011,0.043971220369195325,0.78563034815202,0.04516296200175403,0.788512987012987,0.04995991749964443
4,0.3,,2048,0.7758028041610131,0.06685235387921395,0.7642968190332573,0.06969168818485585,0.7611255411255413,0.07222576920133197
5,0.3,balanced,2048,0.7847580280416102,0.057278947224481985,0.7813702153024135,0.05898911113056297,0.7808073593073593,0.0619540509033138
6,1.0,,2048,0.7668475802804161,0.07293141410377242,0.756574677684181,0.07137548223856885,0.7529112554112554,0.07583661533377618
7,1.0,balanced,2048,0.7847580280416102,0.061769879608288274,0.7790512028789724,0.06266313383633051,0.7774502164502165,0.06610578414556985
8,3.0,,2048,0.7638172772501132,0.06571262113965673,0.7545905682263874,0.06359438658395951,0.751926406926407,0.06999418714893955
9,3.0,balanced,2048,0.7698326549072817,0.06918266454634216,0.7597077704256329,0.06886542532393751,0.758426406926407,0.07578452651926385
10,10.0,,2048,0.7638172772501132,0.06434232795357124,0.7532534870069532,0.061620335021660894,0.7504112554112555,0.065792232383424
11,10.0,balanced,2048,0.7608322026232475,0.06542435121864028,0.7522171417446016,0.0637591811419552,0.751037518037518,0.06920905574393416
