order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,768,0,0.03,,20,844,211,852,211,0.8293838862559242,0.7999161866576905,0.8054649611040589
0,2,768,0,0.03,,20,844,211,849,214,0.8293838862559242,0.8095709502056252,0.8032635701808634
0,3,768,0,0.03,,20,844,211,852,211,0.8199052132701422,0.7799930162839829,0.7778001551497793
0,4,768,0,0.03,,20,844,211,847,216,0.8578199052132701,0.8289615720046205,0.8213195325977282
0,5,768,0,0.03,,20,844,211,852,211,0.7914691943127962,0.7457450909673465,0.7592205303173901
1,1,768,0,0.03,balanced,20,844,211,852,211,0.8862559241706162,0.8622138264440113,0.8836213911401881
1,2,768,0,0.03,balanced,20,844,211,849,214,0.8672985781990521,0.8459301520917849,0.8719429797437316
1,3,768,0,0.03,balanced,20,844,211,852,211,0.9004739336492891,0.8691616154508858,0.8713816467575866
1,4,768,0,0.03,balanced,20,844,211,847,216,0.8957345971563981,0.8733390329906046,0.8816109218807139
1,5,768,0,0.03,balanced,20,844,211,852,211,0.8767772511848341,0.8528574928294542,0.8713358070500928
2,1,768,0,0.1,,20,844,211,852,211,0.8436018957345972,0.8344712346667699,0.8266637915134155
2,2,768,0,0.1,,20,844,211,849,214,0.8293838862559242,0.8106218729670743,0.806553043865074
2,3,768,0,0.1,,20,844,211,852,211,0.8341232227488151,0.8051535251835958,0.7942902440082891
2,4,768,0,0.1,,20,844,211,847,216,0.8672985781990521,0.8327140321441165,0.8289750349900725
2,5,768,0,0.1,,20,844,211,852,211,0.8104265402843602,0.7746171228695262,0.7815490789617282
3,1,768,0,0.1,balanced,20,844,211,852,211,0.8957345971563981,0.8794826773041935,0.8964033460274061
3,2,768,0,0.1,balanced,20,844,211,849,214,0.8672985781990521,0.8459301520917849,0.8719429797437316
3,3,768,0,0.1,balanced,20,844,211,852,211,0.9004739336492891,0.8691616154508858,0.8713816467575866
3,4,768,0,0.1,balanced,20,844,211,847,216,0.8957345971563981,0.8733390329906046,0.8816109218807139
3,5,768,0,0.1,balanced,20,844,211,852,211,0.8720379146919431,0.8396701506947436,0.8572380626891906
4,1,768,0,0.3,,20,844,211,852,211,0.8388625592417062,0.8309376258700032,0.8218791025182002
4,2,768,0,0.3,,20,844,211,849,214,0.8341232227488151,0.814735437670622,0.8118162017598107
4,3,768,0,0.3,,20,844,211,852,211,0.8341232227488151,0.8093158678518063,0.7994166965031626
4,4,768,0,0.3,,20,844,211,847,216,0.8672985781990521,0.8327140321441165,0.8289750349900725
4,5,768,0,0.3,,20,844,211,852,211,0.8151658767772512,0.7812149571681916,0.7868122368564652
5,1,768,0,0.3,balanced,20,844,211,852,211,0.8862559241706162,0.8661401243043577,0.8828467272076295
5,2,768,0,0.3,balanced,20,844,211,849,214,0.8672985781990521,0.8459301520917849,0.8719429797437316
5,3,768,0,0.3,balanced,20,844,211,852,211,0.9052132701421801,0.8821941969045198,0.8845395414944286
5,4,768,0,0.3,balanced,20,844,211,847,216,0.8909952606635071,0.8696849962888322,0.8792185773831063
5,5,768,0,0.3,balanced,20,844,211,852,211,0.8672985781990521,0.8364938316736656,0.8561639488331217
6,1,768,0,1.0,,20,844,211,852,211,0.8388625592417062,0.8309376258700032,0.8218791025182002
6,2,768,0,1.0,,20,844,211,849,214,0.8388625592417062,0.8259300909705384,0.819334998752292
6,3,768,0,1.0,,20,844,211,852,211,0.8388625592417062,0.8113787141800723,0.8018090410007703
6,4,768,0,1.0,,20,844,211,847,216,0.8672985781990521,0.8327140321441165,0.8289750349900725
6,5,768,0,1.0,,20,844,211,852,211,0.8151658767772512,0.7812149571681916,0.7868122368564652
7,1,768,0,1.0,balanced,20,844,211,852,211,0.8862559241706162,0.8661401243043577,0.8828467272076295
7,2,768,0,1.0,balanced,20,844,211,849,214,0.8672985781990521,0.8459301520917849,0.8719429797437316
7,3,768,0,1.0,balanced,20,844,211,852,211,0.9004739336492891,0.8788642407690493,0.8821471969968211
7,4,768,0,1.0,balanced,20,844,211,847,216,0.8957345971563981,0.8733390329906046,0.8816109218807139
7,5,768,0,1.0,balanced,20,844,211,852,211,0.8720379146919431,0.8430784751004144,0.8614271067278586
8,1,768,0,3.0,,20,844,211,852,211,0.8341232227488151,0.8186861579398649,0.8131071726936389
8,2,768,0,3.0,,20,844,211,849,214,0.8341232227488151,0.81423418453779,0.8088086829628183
8,3,768,0,3.0,,20,844,211,852,211,0.8388625592417062,0.8113787141800723,0.8018090410007703
8,4,768,0,3.0,,20,844,211,847,216,0.8672985781990521,0.8327140321441165,0.8289750349900725
8,5,768,0,3.0,,20,844,211,852,211,0.8151658767772512,0.7812149571681916,0.7868122368564652
9,1,768,0,3.0,balanced,20,844,211,852,211,0.8862559241706162,0.8661401243043577,0.8828467272076295
9,2,768,0,3.0,balanced,20,844,211,849,214,0.8672985781990521,0.8412176131687195,0.867995611322679
9,3,768,0,3.0,balanced,20,844,211,852,211,0.9004739336492891,0.8788642407690493,0.8821471969968211
9,4,768,0,3.0,balanced,20,844,211,847,216,0.8909952606635071,0.8651236153569045,0.8728389920561526
9,5,768,0,3.0,balanced,20,844,211,852,211,0.8720379146919431,0.8430784751004144,0.8614271067278586
10,1,768,384,0.03,,20,844,211,852,211,0.8436018957345972,0.821019258624775,0.8259327973613688
10,2,768,384,0.03,,20,844,211,849,214,0.8293838862559242,0.811077590703206,0.810742087903742
10,3,768,384,0.03,,20,844,211,852,211,0.8388625592417062,0.7955656337737215,0.7915561360110233
10,4,768,384,0.03,,20,844,211,847,216,0.8720379146919431,0.8346569053229356,0.8306637487530898
10,5,768,384,0.03,,20,844,211,852,211,0.7914691943127962,0.7428422151298121,0.756349716920261
11,1,768,384,0.03,balanced,20,844,211,852,211,0.8909952606635071,0.8732874777100188,0.8918711822847161
11,2,768,384,0.03,balanced,20,844,211,849,214,0.8672985781990521,0.8368881768530568,0.8623565135783181
11,3,768,384,0.03,balanced,20,844,211,852,211,0.9004739336492891,0.8715779357941829,0.8706506526055399
11,4,768,384,0.03,balanced,20,844,211,847,216,0.9004739336492891,0.8798325945006313,0.889129718873195
11,5,768,384,0.03,balanced,20,844,211,852,211,0.8909952606635071,0.8822199147824258,0.8938409335025878
12,1,768,384,0.1,,20,844,211,852,211,0.8436018957345972,0.8224652117840973,0.827248586835053
12,2,768,384,0.1,,20,844,211,849,214,0.8341232227488151,0.81423418453779,0.8088086829628183
12,3,768,384,0.1,,20,844,211,852,211,0.8388625592417062,0.802228758853141,0.7957427388818367
12,4,768,384,0.1,,20,844,211,847,216,0.8720379146919431,0.8324284845521487,0.8306637487530898
12,5,768,384,0.1,,20,844,211,852,211,0.8104265402843602,0.7731685750261601,0.7815490789617282
13,1,768,384,0.1,balanced,20,844,211,852,211,0.8767772511848341,0.850030475249292,0.8717356160965183
13,2,768,384,0.1,balanced,20,844,211,849,214,0.8720379146919431,0.8415416716448029,0.8658652855081426
13,3,768,384,0.1,balanced,20,844,211,852,211,0.8909952606635071,0.8538575181034447,0.8580148965487311
13,4,768,384,0.1,balanced,20,844,211,847,216,0.9004739336492891,0.8798325945006313,0.889129718873195
13,5,768,384,0.1,balanced,20,844,211,852,211,0.8862559241706162,0.8802895791182709,0.8927668196465188
14,1,768,384,0.3,,20,844,211,852,211,0.8388625592417062,0.8189856736785204,0.8224638978398378
14,2,768,384,0.3,,20,844,211,849,214,0.8341232227488151,0.81423418453779,0.8088086829628183
14,3,768,384,0.3,,20,844,211,852,211,0.8483412322274881,0.821707678609069,0.810780332866799
14,4,768,384,0.3,,20,844,211,847,216,0.8720379146919431,0.8324284845521487,0.8306637487530898
14,5,768,384,0.3,,20,844,211,852,211,0.8056872037914692,0.7700246596775845,0.7791567344641206
15,1,768,384,0.3,balanced,20,844,211,852,211,0.8767772511848341,0.850030475249292,0.8717356160965183
15,2,768,384,0.3,balanced,20,844,211,849,214,0.8720379146919431,0.8415416716448029,0.8658652855081426
15,3,768,384,0.3,balanced,20,844,211,852,211,0.8862559241706162,0.8505275619679743,0.8556225520511236
15,4,768,384,0.3,balanced,20,844,211,847,216,0.9004739336492891,0.8798325945006313,0.889129718873195
15,5,768,384,0.3,balanced,20,844,211,852,211,0.8862559241706162,0.8735184722481648,0.8892580477166943
16,1,768,384,1.0,,20,844,211,852,211,0.8388625592417062,0.8189856736785204,0.8224638978398378
16,2,768,384,1.0,,20,844,211,849,214,0.8341232227488151,0.81423418453779,0.8088086829628183
16,3,768,384,1.0,,20,844,211,852,211,0.8483412322274881,0.821707678609069,0.810780332866799
16,4,768,384,1.0,,20,844,211,847,216,0.8720379146919431,0.8324284845521487,0.8306637487530898
16,5,768,384,1.0,,20,844,211,852,211,0.8104265402843602,0.7769072507707019,0.7857356818325417
17,1,768,384,1.0,balanced,20,844,211,852,211,0.8767772511848341,0.850030475249292,0.8717356160965183
17,2,768,384,1.0,balanced,20,844,211,849,214,0.8720379146919431,0.8415416716448029,0.8658652855081426
17,3,768,384,1.0,balanced,20,844,211,852,211,0.8862559241706162,0.8505275619679743,0.8556225520511236
17,4,768,384,1.0,balanced,20,844,211,847,216,0.9004739336492891,0.8798325945006313,0.889129718873195
17,5,768,384,1.0,balanced,20,844,211,852,211,0.8862559241706162,0.878317291000472,0.8892580477166943
18,1,768,384,3.0,,20,844,211,852,211,0.8341232227488151,0.8131733257609093,0.8158849504714167
18,2,768,384,3.0,,20,844,211,849,214,0.8341232227488151,0.81423418453779,0.8088086829628183
18,3,768,384,3.0,,20,844,211,852,211,0.8483412322274881,0.821707678609069,0.810780332866799
18,4,768,384,3.0,,20,844,211,847,216,0.8720379146919431,0.8317948054110555,0.8306637487530898
18,5,768,384,3.0,,20,844,211,852,211,0.8104265402843602,0.7769072507707019,0.7857356818325417
19,1,768,384,3.0,balanced,20,844,211,852,211,0.8767772511848341,0.850030475249292,0.8717356160965183
19,2,768,384,3.0,balanced,20,844,211,849,214,0.8767772511848341,0.8479480619521219,0.8724442328765637
19,3,768,384,3.0,balanced,20,844,211,852,211,0.8862559241706162,0.8522951090117553,0.8556225520511236
19,4,768,384,3.0,balanced,20,844,211,847,216,0.9004739336492891,0.8798325945006313,0.889129718873195
19,5,768,384,3.0,balanced,20,844,211,852,211,0.8862559241706162,0.8735184722481648,0.8892580477166943
20,1,1024,0,0.03,,20,844,211,852,211,0.8483412322274881,0.8145412650942132,0.8312183326281071
20,2,1024,0,0.03,,20,844,211,849,214,0.8293838862559242,0.8098509546155438,0.8124789788323623
20,3,1024,0,0.03,,20,844,211,852,211,0.8578199052132701,0.8260574889787534,0.8138941780859075
20,4,1024,0,0.03,,20,844,211,847,216,0.8815165876777251,0.8470212355131695,0.841828023075259
20,5,1024,0,0.03,,20,844,211,852,211,0.8104265402843602,0.7728580944866059,0.7923797270104214
21,1,1024,0,0.03,balanced,20,844,211,852,211,0.8720379146919431,0.8502148835586419,0.8787024379129642
21,2,1024,0,0.03,balanced,20,844,211,849,214,0.8672985781990521,0.8454545515912167,0.8614593843917152
21,3,1024,0,0.03,balanced,20,844,211,852,211,0.9052132701421801,0.8916656678567051,0.8966233223752023
21,4,1024,0,0.03,balanced,20,844,211,847,216,0.909952606635071,0.8885067107233665,0.8954669906240008
21,5,1024,0,0.03,balanced,20,844,211,852,211,0.8767772511848341,0.8517590162582862,0.8747819223383133
