order,fold,c,class_weight,nfft,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
0,1,0.03,,2048,844,211,852,211,0.6492890995260664,0.5729112212779672,0.5510101010101011
0,2,0.03,,2048,844,211,849,214,0.6587677725118484,0.598644098202775,0.5921641224272803
0,3,0.03,,2048,844,211,852,211,0.6255924170616114,0.5211875915714785,0.5231440343282449
0,4,0.03,,2048,844,211,847,216,0.6398104265402843,0.5187093230351622,0.5133428012353268
0,5,0.03,,2048,844,211,852,211,0.6350710900473934,0.5518021999364674,0.5461586069834633
1,1,0.03,balanced,2048,844,211,852,211,0.6587677725118484,0.6447693511534264,0.6804339040241295
1,2,0.03,balanced,2048,844,211,849,214,0.6161137440758294,0.6080005565968507,0.6464424047130815
1,3,0.03,balanced,2048,844,211,852,211,0.6113744075829384,0.5782142758883094,0.614596691946316
1,4,0.03,balanced,2048,844,211,847,216,0.6113744075829384,0.6073961978866095,0.6522128707942506
1,5,0.03,balanced,2048,844,211,852,211,0.6350710900473934,0.6335942717723979,0.6559002548387776
2,1,0.1,,2048,844,211,852,211,0.6824644549763034,0.6455577311745898,0.6189974394861613
2,2,0.1,,2048,844,211,849,214,0.6872037914691943,0.6732199465954117,0.6655549859497228
2,3,0.1,,2048,844,211,852,211,0.6445497630331753,0.5792024762360739,0.5760861840749059
2,4,0.1,,2048,844,211,847,216,0.6635071090047393,0.5957082578301062,0.5745011401689863
2,5,0.1,,2048,844,211,852,211,0.6445497630331753,0.5795280107637087,0.5727239699707635
3,1,0.1,balanced,2048,844,211,852,211,0.7014218009478673,0.6931399433130735,0.7136602328331652
3,2,0.1,balanced,2048,844,211,849,214,0.6682464454976303,0.6495531102492835,0.6805627434386833
3,3,0.1,balanced,2048,844,211,852,211,0.6445497630331753,0.6203993992353971,0.657078708676453
3,4,0.1,balanced,2048,844,211,847,216,0.6303317535545023,0.6172093960237057,0.6508189639492162
3,5,0.1,balanced,2048,844,211,852,211,0.6587677725118484,0.6472457228120225,0.6740403338368841
4,1,0.3,,2048,844,211,852,211,0.6872037914691943,0.6679087481997098,0.6413550109038831
4,2,0.3,,2048,844,211,849,214,0.7014218009478673,0.6735596737893752,0.675620327875967
4,3,0.3,,2048,844,211,852,211,0.6682464454976303,0.6257467288739972,0.6188920624070999
4,4,0.3,,2048,844,211,847,216,0.6540284360189573,0.6433309242366483,0.6225465784399884
4,5,0.3,,2048,844,211,852,211,0.6492890995260664,0.6277678276126007,0.6206156146669194
5,1,0.3,balanced,2048,844,211,852,211,0.7203791469194313,0.7267949513882282,0.7347237140470222
5,2,0.3,balanced,2048,844,211,849,214,0.6872037914691943,0.6531606518413201,0.6832638956699107
5,3,0.3,balanced,2048,844,211,852,211,0.6777251184834123,0.6624076743130097,0.6898405374909133
5,4,0.3,balanced,2048,844,211,847,216,0.6255924170616114,0.604588684087625,0.6296760091596447
5,5,0.3,balanced,2048,844,211,852,211,0.6824644549763034,0.667370935866658,0.6959536446157409
6,1,1.0,,2048,844,211,852,211,0.6729857819905213,0.6562691918392551,0.6325935238529223
6,2,1.0,,2048,844,211,849,214,0.6919431279620853,0.6635829770504693,0.6714323688007898
6,3,1.0,,2048,844,211,852,211,0.6824644549763034,0.65068465094833,0.6450333083791729
6,4,1.0,,2048,844,211,847,216,0.6398104265402843,0.6200849426244944,0.6151327516652594
6,5,1.0,,2048,844,211,852,211,0.6824644549763034,0.6659029551891498,0.6696189001916557
7,1,1.0,balanced,2048,844,211,852,211,0.7061611374407583,0.6956062868223112,0.6907129837580965
7,2,1.0,balanced,2048,844,211,849,214,0.6919431279620853,0.6692894046731427,0.6927315583330621
7,3,1.0,balanced,2048,844,211,852,211,0.6872037914691943,0.6601367783543759,0.6863862849765106
7,4,1.0,balanced,2048,844,211,847,216,0.6398104265402843,0.6099414861024768,0.6285347631875716
7,5,1.0,balanced,2048,844,211,852,211,0.6777251184834123,0.6677580997885544,0.6884717044712623
8,1,3.0,,2048,844,211,852,211,0.6587677725118484,0.6532920549428369,0.6356165033796612
8,2,3.0,,2048,844,211,849,214,0.6777251184834123,0.6564240289722549,0.6648757988043702
8,3,3.0,,2048,844,211,852,211,0.6824644549763034,0.6458541377858679,0.6408442643405049
8,4,3.0,,2048,844,211,847,216,0.6255924170616114,0.6009141721550397,0.5930944626654489
8,5,3.0,,2048,844,211,852,211,0.6824644549763034,0.6718633266801293,0.6731018723278787
9,1,3.0,balanced,2048,844,211,852,211,0.6824644549763034,0.6686049048230687,0.6608960170990246
9,2,3.0,balanced,2048,844,211,849,214,0.6777251184834123,0.6519735626829543,0.6714547461727913
9,3,3.0,balanced,2048,844,211,852,211,0.6729857819905213,0.634971595809546,0.6464939404789029
9,4,3.0,balanced,2048,844,211,847,216,0.6398104265402843,0.6157589543146459,0.6291016885222989
9,5,3.0,balanced,2048,844,211,852,211,0.7061611374407583,0.7095558468879704,0.7191827448682823
10,1,10.0,,2048,844,211,852,211,0.6350710900473934,0.6288349709342831,0.6086627553732817
10,2,10.0,,2048,844,211,849,214,0.6682464454976303,0.6459937528870348,0.6566355010903883
10,3,10.0,,2048,844,211,852,211,0.6777251184834123,0.6463357749985397,0.6424382113291888
10,4,10.0,,2048,844,211,847,216,0.6255924170616114,0.594552981957545,0.5935729315649705
10,5,10.0,,2048,844,211,852,211,0.6872037914691943,0.6741357046309445,0.677513637033761
11,1,10.0,balanced,2048,844,211,852,211,0.6635071090047393,0.6608802751412638,0.6554583157026767
11,2,10.0,balanced,2048,844,211,849,214,0.6729857819905213,0.6453641823658232,0.6597493463094967
11,3,10.0,balanced,2048,844,211,852,211,0.6540284360189573,0.6208284351475399,0.6287611615619135
11,4,10.0,balanced,2048,844,211,847,216,0.6208530805687204,0.5984790209697831,0.6111158099603479
11,5,10.0,balanced,2048,844,211,852,211,0.6966824644549763,0.698175807531037,0.7036325056338325
